row_ID;item_ID;Director;Country;Language;Year;Genre1;Genre2;Genre3;Actor1;Actor2;Actor3;Budget;IMDB_Link;Title;Num_of_Ratings
1;1;Neil Marshall;United Kingdom;English;2010;Action;Adventure;History;Dominic West;Michael Fassbender;Olga Kurylenko;10000000;http://www.imdb.com/title/tt1020558/;CENTURION;3
2;2;Tom Six;Netherlands;English;2010;Drama;Horror;Thriller;Dieter Laser;Ashley C. Williams;Ashlynn Yennie;1500000;http://www.imdb.com/title/tt1467304/;THE HUMAN CENTIPEDE;1
3;3;Gary Winick;United States;English;2010;Comedy;Drama;Romance;Amanda Seyfried;Chris Egan;Vanessa Redgrave;30000000;http://www.imdb.com/title/tt0892318/;LETTERS TO JULIET;4
4;4;Kevin Reynolds;United States;English;2006;Action;Adventure;Drama;James Franco;Sophia Myles;Rufus Sewell;28000000;http://www.imdb.com/title/tt0375154/;TRISTAN AND ISOLDE;1
5;5;Tom Shadyac;United States;English;1998;Comedy;Biography;Drama;Robin Williams;Philip Seymour Hoffman;Monica Potter;90000000;http://www.imdb.com/title/tt0129290/;PATCH ADAMS;3
6;6;Amy Heckerling;United States;English;2008;Comedy;Drama;Romance;Michelle Pfeiffer;Paul Rudd;Sarah Alexander;24000000;http://www.imdb.com/title/tt0466839/;I COULD NEVER BE YOUR WOMAN;3
7;7;Martin Campbell;United States;English;2003;Adventure;Drama;Romance;Angelina Jolie;Clive Owen;Teri Polo;35000000;http://www.imdb.com/title/tt0294357/;BEYOND BORDERS;1
8;8;Quentin Tarantino;United States;English;2007;Action;Crime;Thriller;Kurt Russell;Zoe Bell;Vanessa Ferlito;53000000;http://www.imdb.com/title/tt1028528/;DEATH PROOF;2
9;9;Oliver Stone;United States;English;1993;Action;Biography;Drama;Tommy Lee Jones;Joan Chen;Haing S. Ngor;33000000;http://www.imdb.com/title/tt0107096/;HEAVEN AND EARTH;2
10;10;Terry Jones;United Kingdom;English;1979;0;0;Comedy;Graham Chapman;John Cleese;Terry Gilliam;4000000;http://www.imdb.com/title/tt0079470/;LIFE OF BRIAN;0
11;11;Jim Field Smith;United States;English;2010;Comedy;Romance;Romance;Jay Baruchel;Alice Eve;Mike Vogel;20000000;http://www.imdb.com/title/tt0815236/;SHE\'S OUT OF MY LEAGUE;1
12;12;David Attwood;United States;English;2003;Drama;0;0;Diane Keaton;Linda Boyd;Colin Roberts;0;http://www.imdb.com/title/tt0345119/;ON THIN ICE;1
