learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
1.0,adam,FM,32,0.0,500,0.8211
1.0,adam,FM,32,0.0,1000,0.8242
1.0,adam,FM,32,0.01,500,0.8206
1.0,adam,FM,32,0.01,1000,0.8123
1.0,adam,FM,32,0.1,500,0.8322
1.0,adam,FM,32,0.1,1000,0.8069
1.0,adam,FM,64,0.0,500,0.8279
1.0,adam,FM,64,0.0,1000,0.8208
1.0,adam,FM,64,0.01,500,0.8137
1.0,adam,FM,64,0.01,1000,0.7996
1.0,adam,FM,64,0.1,500,0.8093
1.0,adam,FM,64,0.1,1000,0.8111
1.0,adam,DeepFM,32,0.0,500,0.8159
1.0,adam,DeepFM,32,0.0,1000,0.8131
1.0,adam,DeepFM,32,0.01,500,0.8219
1.0,adam,DeepFM,32,0.01,1000,0.8163
1.0,adam,DeepFM,32,0.1,500,0.8164
1.0,adam,DeepFM,32,0.1,1000,0.8177
1.0,adam,DeepFM,64,0.0,500,0.8189
1.0,adam,DeepFM,64,0.0,1000,0.851
1.0,adam,DeepFM,64,0.01,500,0.802
1.0,adam,DeepFM,64,0.01,1000,0.8267
1.0,adam,DeepFM,64,0.1,500,0.8233
1.0,adam,DeepFM,64,0.1,1000,0.8217
1.0,RMSprop,FM,32,0.0,500,0.812
1.0,RMSprop,FM,32,0.0,1000,0.8254
1.0,RMSprop,FM,32,0.01,500,0.8088
1.0,RMSprop,FM,32,0.01,1000,0.7992
1.0,RMSprop,FM,32,0.1,500,0.8171
1.0,RMSprop,FM,32,0.1,1000,0.8302
1.0,RMSprop,FM,64,0.0,500,0.8234
1.0,RMSprop,FM,64,0.0,1000,0.8158
1.0,RMSprop,FM,64,0.01,500,0.8312
1.0,RMSprop,FM,64,0.01,1000,0.8239
1.0,RMSprop,FM,64,0.1,500,0.8018
1.0,RMSprop,FM,64,0.1,1000,0.8132
1.0,RMSprop,DeepFM,32,0.0,500,0.8173
1.0,RMSprop,DeepFM,32,0.0,1000,0.8099
1.0,RMSprop,DeepFM,32,0.01,500,0.8234
1.0,RMSprop,DeepFM,32,0.01,1000,0.8095
1.0,RMSprop,DeepFM,32,0.1,500,0.8189
1.0,RMSprop,DeepFM,32,0.1,1000,0.817
1.0,RMSprop,DeepFM,64,0.0,500,0.8116
1.0,RMSprop,DeepFM,64,0.0,1000,0.8164
1.0,RMSprop,DeepFM,64,0.01,500,0.8159
1.0,RMSprop,DeepFM,64,0.01,1000,0.8125
1.0,RMSprop,DeepFM,64,0.1,500,0.8074
1.0,RMSprop,DeepFM,64,0.1,1000,0.8223
0.1,adam,FM,32,0.0,500,0.8172
0.1,adam,FM,32,0.0,1000,0.8227
0.1,adam,FM,32,0.01,500,0.8274
0.1,adam,FM,32,0.01,1000,0.8316
0.1,adam,FM,32,0.1,500,0.816
0.1,adam,FM,32,0.1,1000,0.7974
0.1,adam,FM,64,0.0,500,0.8055
0.1,adam,FM,64,0.0,1000,0.8113
0.1,adam,FM,64,0.01,500,0.826
0.1,adam,FM,64,0.01,1000,0.7999
0.1,adam,FM,64,0.1,500,0.8273
0.1,adam,FM,64,0.1,1000,0.8033
0.1,adam,DeepFM,32,0.0,500,0.8236
0.1,adam,DeepFM,32,0.0,1000,0.8249
0.1,adam,DeepFM,32,0.01,500,0.8491
0.1,adam,DeepFM,32,0.01,1000,0.8115
0.1,adam,DeepFM,32,0.1,500,0.7988
0.1,adam,DeepFM,32,0.1,1000,0.8177
0.1,adam,DeepFM,64,0.0,500,0.8207
0.1,adam,DeepFM,64,0.0,1000,0.8128
0.1,adam,DeepFM,64,0.01,500,0.816
0.1,adam,DeepFM,64,0.01,1000,0.7997
0.1,adam,DeepFM,64,0.1,500,0.8093
0.1,adam,DeepFM,64,0.1,1000,0.8135
0.1,RMSprop,FM,32,0.0,500,0.8113
0.1,RMSprop,FM,32,0.0,1000,0.8193
0.1,RMSprop,FM,32,0.01,500,0.8167
0.1,RMSprop,FM,32,0.01,1000,0.8147
0.1,RMSprop,FM,32,0.1,500,0.8182
0.1,RMSprop,FM,32,0.1,1000,0.8203
0.1,RMSprop,FM,64,0.0,500,0.8191
0.1,RMSprop,FM,64,0.0,1000,0.8193
0.1,RMSprop,FM,64,0.01,500,0.8269
0.1,RMSprop,FM,64,0.01,1000,0.811
0.1,RMSprop,FM,64,0.1,500,0.8228
0.1,RMSprop,FM,64,0.1,1000,0.8175
0.1,RMSprop,DeepFM,32,0.0,500,0.8229
0.1,RMSprop,DeepFM,32,0.0,1000,0.8149
0.1,RMSprop,DeepFM,32,0.01,500,0.8226
0.1,RMSprop,DeepFM,32,0.01,1000,0.8146
0.1,RMSprop,DeepFM,32,0.1,500,0.8284
0.1,RMSprop,DeepFM,32,0.1,1000,0.7956
0.1,RMSprop,DeepFM,64,0.0,500,0.8134
0.1,RMSprop,DeepFM,64,0.0,1000,0.8068
0.1,RMSprop,DeepFM,64,0.01,500,0.8099
0.1,RMSprop,DeepFM,64,0.01,1000,0.8153
0.1,RMSprop,DeepFM,64,0.1,500,0.8277
0.1,RMSprop,DeepFM,64,0.1,1000,0.8156
0.01,adam,FM,32,0.0,500,0.8133
0.01,adam,FM,32,0.0,1000,0.7964
0.01,adam,FM,32,0.01,500,0.8103
0.01,adam,FM,32,0.01,1000,0.8044
0.01,adam,FM,32,0.1,500,0.819
0.01,adam,FM,32,0.1,1000,0.8216
0.01,adam,FM,64,0.0,500,0.8063
0.01,adam,FM,64,0.0,1000,0.8111
0.01,adam,FM,64,0.01,500,0.8279
0.01,adam,FM,64,0.01,1000,0.8252
0.01,adam,FM,64,0.1,500,0.8218
0.01,adam,FM,64,0.1,1000,0.8099
0.01,adam,DeepFM,32,0.0,500,0.8175
0.01,adam,DeepFM,32,0.0,1000,0.8061
0.01,adam,DeepFM,32,0.01,500,0.8114
