learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.1,adam,NeuCMFii,32,0.0,500,0.8207
0.1,adam,NeuCMFii,32,0.0,1000,0.8194
0.1,adam,NeuCMFii,32,0.01,500,0.8357
0.1,adam,NeuCMFii,32,0.01,1000,0.833
0.1,adam,NeuCMFii,32,0.1,500,0.7964
0.1,adam,NeuCMFii,32,0.1,1000,0.8334
0.1,adam,NeuCMFii,64,0.0,500,0.8305
0.1,adam,NeuCMFii,64,0.0,1000,0.8184
0.1,adam,NeuCMFii,64,0.01,500,0.8161
0.1,adam,NeuCMFii,64,0.01,1000,0.8403
0.1,adam,NeuCMFii,64,0.1,500,0.8192
0.1,adam,NeuCMFii,64,0.1,1000,0.8227
0.1,adam,NeuCMFww,32,0.0,500,0.8073
0.1,adam,NeuCMFww,32,0.0,1000,0.838
0.1,adam,NeuCMFww,32,0.01,500,0.8499
0.1,adam,NeuCMFww,32,0.01,1000,0.8433
0.1,adam,NeuCMFww,32,0.1,500,0.8183
0.1,adam,NeuCMFww,32,0.1,1000,0.8303
0.1,adam,NeuCMFww,64,0.0,500,0.8318
0.1,adam,NeuCMFww,64,0.0,1000,0.8062
0.1,adam,NeuCMFww,64,0.01,500,0.8155
0.1,adam,NeuCMFww,64,0.01,1000,0.8165
0.1,adam,NeuCMFww,64,0.1,500,0.8083
0.1,adam,NeuCMFww,64,0.1,1000,0.8406
0.1,adam,NeuCMF0i,32,0.0,500,0.8103
0.1,adam,NeuCMF0i,32,0.0,1000,0.8301
0.1,adam,NeuCMF0i,32,0.01,500,0.834
0.1,adam,NeuCMF0i,32,0.01,1000,0.8387
0.1,adam,NeuCMF0i,32,0.1,500,0.823
0.1,adam,NeuCMF0i,32,0.1,1000,0.819
0.1,adam,NeuCMF0i,64,0.0,500,0.8327
0.1,adam,NeuCMF0i,64,0.0,1000,0.8207
0.1,adam,NeuCMF0i,64,0.01,500,0.8284
0.1,adam,NeuCMF0i,64,0.01,1000,0.8242
0.1,adam,NeuCMF0i,64,0.1,500,0.8337
0.1,adam,NeuCMF0i,64,0.1,1000,0.8341
0.1,adam,NeuCMFi0,32,0.0,500,0.83
0.1,adam,NeuCMFi0,32,0.0,1000,0.8314
0.1,adam,NeuCMFi0,32,0.01,500,0.8251
0.1,adam,NeuCMFi0,32,0.01,1000,0.8231
0.1,adam,NeuCMFi0,32,0.1,500,0.8245
0.1,adam,NeuCMFi0,32,0.1,1000,0.8284
0.1,adam,NeuCMFi0,64,0.0,500,0.8329
0.1,adam,NeuCMFi0,64,0.0,1000,0.8201
0.1,adam,NeuCMFi0,64,0.01,500,0.8187
0.1,adam,NeuCMFi0,64,0.01,1000,0.8327
0.1,adam,NeuCMFi0,64,0.1,500,0.8164
0.1,adam,NeuCMFi0,64,0.1,1000,0.8318
0.1,adam,NeuCMF0w,32,0.0,500,0.8245
0.1,adam,NeuCMF0w,32,0.0,1000,0.8243
0.1,adam,NeuCMF0w,32,0.01,500,0.8218
0.1,adam,NeuCMF0w,32,0.01,1000,0.8214
0.1,adam,NeuCMF0w,32,0.1,500,0.838
0.1,adam,NeuCMF0w,32,0.1,1000,0.8349
0.1,adam,NeuCMF0w,64,0.0,500,0.8107
0.1,adam,NeuCMF0w,64,0.0,1000,0.823
0.1,adam,NeuCMF0w,64,0.01,500,0.8113
0.1,adam,NeuCMF0w,64,0.01,1000,0.8505
0.1,adam,NeuCMF0w,64,0.1,500,0.8141
0.1,adam,NeuCMF0w,64,0.1,1000,0.8274
