learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
0.001,adam,32,0.01,500,0.6015446186065674,0.5908381938934326
0.001,adam,32,0.01,500,0.5879116654396057,0.5679729580879211
0.001,adam,32,0.01,500,0.5971704721450806,0.581844687461853
0.001,adam,32,0.01,500,0.5916924476623535,0.5760267376899719
0.001,adam,32,0.01,500,0.6005303263664246,0.5919257402420044
0.001,adam,32,0.01,1000,0.6054101586341858,0.5925571918487549
0.001,adam,32,0.01,1000,0.589120626449585,0.5712087750434875
0.001,adam,32,0.01,1000,0.6005125045776367,0.5866135358810425
0.001,adam,32,0.01,1000,0.5927209258079529,0.5790911316871643
0.001,adam,32,0.01,1000,0.6026732921600342,0.5937308669090271
0.001,adam,32,0.1,500,0.6039037108421326,0.5929520130157471
0.001,adam,32,0.1,500,0.5879706144332886,0.5701020956039429
0.001,adam,32,0.1,500,0.5989224910736084,0.5834848880767822
0.001,adam,32,0.1,500,0.5908033847808838,0.5765424966812134
0.001,adam,32,0.1,500,0.5984169244766235,0.5910120606422424
0.001,adam,32,0.1,1000,0.6045709252357483,0.59357750415802
0.001,adam,32,0.1,1000,0.5918450951576233,0.5728726387023926
0.001,adam,32,0.1,1000,0.6026276350021362,0.589370846748352
0.001,adam,32,0.1,1000,0.5936418175697327,0.5777576565742493
0.001,adam,32,0.1,1000,0.6042092442512512,0.5950083136558533
0.001,adam,128,0.01,500,0.6007206439971924,0.5908405184745789
0.001,adam,128,0.01,500,0.5851076245307922,0.5680326819419861
0.001,adam,128,0.01,500,0.5967528223991394,0.5818852782249451
0.001,adam,128,0.01,500,0.5908541679382324,0.5743179321289062
0.001,adam,128,0.01,500,0.5971773862838745,0.5891501903533936
0.001,adam,128,0.01,1000,0.60428386926651,0.5919833183288574
0.001,adam,128,0.01,1000,0.5878146886825562,0.568908154964447
0.001,adam,128,0.01,1000,0.5999808311462402,0.5869895219802856
0.001,adam,128,0.01,1000,0.5909045338630676,0.575019359588623
0.001,adam,128,0.01,1000,0.5995623469352722,0.5897367596626282
0.001,adam,128,0.1,500,0.5998811721801758,0.5872666239738464
0.001,adam,128,0.1,500,0.5876662135124207,0.5670309066772461
0.001,adam,128,0.1,500,0.5966588854789734,0.5820198059082031
0.001,adam,128,0.1,500,0.5887683629989624,0.5740582346916199
0.001,adam,128,0.1,500,0.6012791991233826,0.591343104839325
