learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
1.0,adam,FM,32,0.0,500,644.6112
1.0,adam,FM,32,0.0,1000,126.2212
1.0,adam,FM,32,0.01,500,29.0908
1.0,adam,FM,32,0.01,1000,9.3595
1.0,adam,FM,32,0.1,500,4.7279
1.0,adam,FM,32,0.1,1000,1.6983
1.0,adam,FM,64,0.0,500,1323.0717
1.0,adam,FM,64,0.0,1000,297.3535
1.0,adam,FM,64,0.01,500,67.3869
1.0,adam,FM,64,0.01,1000,48.166
1.0,adam,FM,64,0.1,500,8.6748
1.0,adam,FM,64,0.1,1000,3.9024
1.0,adam,DeepFM,32,0.0,500,321.4862
1.0,adam,DeepFM,32,0.0,1000,180.6758
1.0,adam,DeepFM,32,0.01,500,31.7517
1.0,adam,DeepFM,32,0.01,1000,56.313
1.0,adam,DeepFM,32,0.1,500,14.4127
1.0,adam,DeepFM,32,0.1,1000,10.8481
1.0,adam,DeepFM,64,0.0,500,576.328
1.0,adam,DeepFM,64,0.0,1000,318.6812
1.0,adam,DeepFM,64,0.01,500,130.3475
1.0,adam,DeepFM,64,0.01,1000,57.7835
1.0,adam,DeepFM,64,0.1,500,34.8567
1.0,adam,DeepFM,64,0.1,1000,15.477
1.0,RMSprop,FM,32,0.0,500,319.5058
1.0,RMSprop,FM,32,0.0,1000,210.3126
1.0,RMSprop,FM,32,0.01,500,53.7539
1.0,RMSprop,FM,32,0.01,1000,26.5644
1.0,RMSprop,FM,32,0.1,500,15.4141
1.0,RMSprop,FM,32,0.1,1000,11.1728
1.0,RMSprop,FM,64,0.0,500,666.1212
1.0,RMSprop,FM,64,0.0,1000,530.5784
1.0,RMSprop,FM,64,0.01,500,143.041
1.0,RMSprop,FM,64,0.01,1000,81.1611
1.0,RMSprop,FM,64,0.1,500,36.7895
1.0,RMSprop,FM,64,0.1,1000,27.1341
1.0,RMSprop,DeepFM,32,0.0,500,851.5508
1.0,RMSprop,DeepFM,32,0.0,1000,1250.9533
1.0,RMSprop,DeepFM,32,0.01,500,395.5842
1.0,RMSprop,DeepFM,32,0.01,1000,313.0076
1.0,RMSprop,DeepFM,32,0.1,500,1508.8963
1.0,RMSprop,DeepFM,32,0.1,1000,822.4312
1.0,RMSprop,DeepFM,64,0.0,500,2477.5119
1.0,RMSprop,DeepFM,64,0.0,1000,3734.1199
1.0,RMSprop,DeepFM,64,0.01,500,810.1239
1.0,RMSprop,DeepFM,64,0.01,1000,851.1407
1.0,RMSprop,DeepFM,64,0.1,500,265.5236
1.0,RMSprop,DeepFM,64,0.1,1000,311.0168
0.1,adam,FM,32,0.0,500,6.6404
0.1,adam,FM,32,0.0,1000,2.218
0.1,adam,FM,32,0.01,500,0.6346
0.1,adam,FM,32,0.01,1000,0.6124
0.1,adam,FM,32,0.1,500,0.6847
0.1,adam,FM,32,0.1,1000,0.677
0.1,adam,FM,64,0.0,500,13.0376
0.1,adam,FM,64,0.0,1000,3.5608
0.1,adam,FM,64,0.01,500,0.8762
0.1,adam,FM,64,0.01,1000,0.6201
0.1,adam,FM,64,0.1,500,0.6841
0.1,adam,FM,64,0.1,1000,0.679
0.1,adam,DeepFM,32,0.0,500,3.8414
0.1,adam,DeepFM,32,0.0,1000,1.8507
0.1,adam,DeepFM,32,0.01,500,0.7043
0.1,adam,DeepFM,32,0.01,1000,0.6077
0.1,adam,DeepFM,32,0.1,500,0.6844
0.1,adam,DeepFM,32,0.1,1000,0.6785
0.1,adam,DeepFM,64,0.0,500,6.4599
0.1,adam,DeepFM,64,0.0,1000,2.7151
0.1,adam,DeepFM,64,0.01,500,0.8242
0.1,adam,DeepFM,64,0.01,1000,0.8504
0.1,adam,DeepFM,64,0.1,500,0.673
0.1,adam,DeepFM,64,0.1,1000,0.6698
0.1,RMSprop,FM,32,0.0,500,4.0867
0.1,RMSprop,FM,32,0.0,1000,3.5681
