learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.0014070163887697,adam,DeepFM,256,0.0301101332613004,500,0.6091
0.0004008863593956,adam,FM,512,1.7818518945758054e-05,2000,0.4579
0.0186263871759472,adam,DeepFM,32,0.0007113127760666,500,0.5256
1.3181005234194508e-05,RMSprop,FM,128,8.907263083842497e-05,1000,0.5246
0.0003347030313339,adam,DeepFM,64,7.411452537776639e-05,4000,0.4977
0.0026907600603262,adam,DeepFM,256,0.0001902217184159,1000,0.4592
1.6808642421691513e-05,adam,FM,32,0.0786265401602268,4000,0.7455
1.394927595465003e-05,adam,FM,256,9.369344248716274e-05,1000,0.5064
0.0007317746236659,adam,DeepFM,64,2.3144613501469625e-05,500,0.4789
0.0001057913116284,RMSprop,FM,64,0.0068362431997656,500,0.5415
0.0547615161073033,RMSprop,FM,512,1.141293569566538e-05,2000,3.924
0.0033885604707127,adam,DeepFM,512,0.0004735851400413,2000,0.4587
0.0048684876204719,adam,DeepFM,512,0.0006975269961116,2000,0.4624
0.0095684928050545,adam,FM,512,0.003110184556788,2000,0.4962
0.0003625268956337,adam,DeepFM,512,2.5506256445457723e-05,2000,0.4774
0.0036251945559178,RMSprop,FM,512,0.0002503431979756,2000,0.459
0.0013830362331356,adam,DeepFM,128,0.0024023866799499,2000,0.4938
0.0989985807361513,adam,FM,512,1.0788423951688363e-05,2000,4.6966
0.0001214649147766,RMSprop,FM,512,0.0003507850467004,2000,0.4532
9.679735666042296e-05,RMSprop,FM,512,4.23848162051245e-05,4000,0.4767
6.184547601009748e-05,RMSprop,FM,128,0.0001977903474859,2000,0.4832
0.0003950214760663,RMSprop,FM,512,0.000401335071631,2000,0.4448
0.0002606586813705,RMSprop,FM,512,0.001365591596642,2000,0.4578
0.000202294935418,RMSprop,FM,512,0.0016110227214258,2000,0.4626
0.0006944723322387,RMSprop,FM,32,0.0011653042699261,2000,0.466
0.0084194746365522,adam,DeepFM,64,0.036866855742369,4000,0.624
0.0001302392717433,adam,FM,256,0.0009031555616145,4000,0.4972
0.0201555534681744,RMSprop,FM,256,0.0649949205965481,500,0.6792
3.35765173258553e-05,RMSprop,DeepFM,128,0.0022204968114647,500,0.4858
0.004372669777916,RMSprop,DeepFM,64,0.0024212478913299,1000,0.4828
0.0448923596111965,adam,FM,64,0.0607172488510349,1000,0.6656
0.0002788184265273,adam,DeepFM,64,0.0002454113959881,1000,0.4923
0.0205498839183637,adam,DeepFM,64,0.0033247014375904,2000,0.5197
0.0096428397992802,RMSprop,FM,32,0.0144801570908022,500,0.5892
0.05686464568211,RMSprop,DeepFM,32,0.0031360777697747,2000,1.2261
0.0017702211405563,RMSprop,DeepFM,512,1.3651724597428408e-05,1000,0.4508
0.0018269734151147,RMSprop,DeepFM,512,1.4808084189147442e-05,1000,0.4516
0.0014441105281114,RMSprop,DeepFM,512,1.2982071619365824e-05,1000,0.4476
0.0009221807979084,RMSprop,DeepFM,512,1.011529471700757e-05,1000,0.4429
0.0005619173406209,RMSprop,DeepFM,512,5.502946398159028e-05,1000,0.4551
0.0008657575868419,RMSprop,DeepFM,512,6.209700708421387e-05,1000,0.4513
0.0002016268115145,RMSprop,DeepFM,512,1.0610207685443464e-05,1000,0.4791
0.0030504177839474,RMSprop,DeepFM,128,4.580367362248496e-05,4000,0.4678
0.0007211817933997,RMSprop,FM,512,0.0001851747240902,2000,0.4482
1.0815397383172813e-05,RMSprop,DeepFM,512,2.9632944382773493e-05,1000,0.4861
0.0014613558550874,RMSprop,DeepFM,512,0.0001481712681734,1000,0.4577
0.000540995465518,RMSprop,FM,512,2.877218850293197e-05,2000,0.4518
0.0008985418459695,RMSprop,FM,512,1.0266510713668744e-05,2000,0.4528
0.0028294130899208,RMSprop,FM,512,0.0001346706429557,2000,0.4577
0.0004052719182759,RMSprop,FM,256,2.7866003972783664e-05,2000,0.457
0.0001286688711599,RMSprop,FM,128,0.0003578026515496,2000,0.4745
0.0008698699909187528,adam,FM,512,0.00010537602754371323,500,0.4512
