learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.1,adam,NeuCMF0i,32,0.0,500,0.6959
0.1,adam,NeuCMF0i,32,0.0,1000,0.6135
0.1,adam,NeuCMF0i,32,0.01,500,0.9124
0.1,adam,NeuCMF0i,32,0.01,1000,0.9096
0.1,adam,NeuCMF0i,32,0.1,500,0.6975
0.1,adam,NeuCMF0i,32,0.1,1000,0.6969
0.1,adam,NeuCMF0i,64,0.0,500,0.6873
0.1,adam,NeuCMF0i,64,0.0,1000,0.6195
0.1,adam,NeuCMF0i,64,0.01,500,0.8639
0.1,adam,NeuCMF0i,64,0.01,1000,0.8277
0.1,adam,NeuCMF0i,64,0.1,500,0.7033
0.1,adam,NeuCMF0i,64,0.1,1000,0.6987
0.1,adam,NeuCMF0w,32,0.0,500,0.6448
0.1,adam,NeuCMF0w,32,0.0,1000,0.6013
0.1,adam,NeuCMF0w,32,0.01,500,0.6905
0.1,adam,NeuCMF0w,32,0.01,1000,0.688
0.1,adam,NeuCMF0w,32,0.1,500,0.6947
0.1,adam,NeuCMF0w,32,0.1,1000,0.7037
0.1,adam,NeuCMF0w,64,0.0,500,0.6546
0.1,adam,NeuCMF0w,64,0.0,1000,0.5998
0.1,adam,NeuCMF0w,64,0.01,500,0.6915
0.1,adam,NeuCMF0w,64,0.01,1000,0.6906
0.1,adam,NeuCMF0w,64,0.1,500,0.6978
0.1,adam,NeuCMF0w,64,0.1,1000,0.7044
0.1,adam,NeuCMFi0,32,0.0,500,4.0405
0.1,adam,NeuCMFi0,32,0.0,1000,1.8452
0.1,adam,NeuCMFi0,32,0.01,500,0.651
0.1,adam,NeuCMFi0,32,0.01,1000,0.6264
0.1,adam,NeuCMFi0,32,0.1,500,0.7003
0.1,adam,NeuCMFi0,32,0.1,1000,0.7006
0.1,adam,NeuCMFi0,64,0.0,500,3.7919
0.1,adam,NeuCMFi0,64,0.0,1000,1.8599
0.1,adam,NeuCMFi0,64,0.01,500,0.6511
0.1,adam,NeuCMFi0,64,0.01,1000,0.6239
0.1,adam,NeuCMFi0,64,0.1,500,0.6986
0.1,adam,NeuCMFi0,64,0.1,1000,0.6995
0.1,adam,NeuCMFii,32,0.0,500,2.3371
0.1,adam,NeuCMFii,32,0.0,1000,1.665
0.1,adam,NeuCMFii,32,0.01,500,0.6255
0.1,adam,NeuCMFii,32,0.01,1000,0.6099
0.1,adam,NeuCMFii,32,0.1,500,0.7023
0.1,adam,NeuCMFii,32,0.1,1000,0.6974
0.1,adam,NeuCMFii,64,0.0,500,1.8111
0.1,adam,NeuCMFii,64,0.0,1000,1.4536
0.1,adam,NeuCMFii,64,0.01,500,0.6372
0.1,adam,NeuCMFii,64,0.01,1000,0.5999
0.1,adam,NeuCMFii,64,0.1,500,0.7009
0.1,adam,NeuCMFii,64,0.1,1000,0.7018
0.1,adam,NeuCMFw0,32,0.0,500,0.8953
0.1,adam,NeuCMFw0,32,0.0,1000,0.5891
0.1,adam,NeuCMFw0,32,0.01,500,0.6929
0.1,adam,NeuCMFw0,32,0.01,1000,0.6939
0.1,adam,NeuCMFw0,32,0.1,500,0.6939
0.1,adam,NeuCMFw0,32,0.1,1000,0.7
0.1,adam,NeuCMFw0,64,0.0,500,0.7983
0.1,adam,NeuCMFw0,64,0.0,1000,0.5795
0.1,adam,NeuCMFw0,64,0.01,500,0.6898
0.1,adam,NeuCMFw0,64,0.01,1000,0.6873
0.1,adam,NeuCMFw0,64,0.1,500,0.6961
0.1,adam,NeuCMFw0,64,0.1,1000,0.6995
0.1,adam,NeuCMFww,32,0.0,500,0.8692
0.1,adam,NeuCMFww,32,0.0,1000,0.5881
0.1,adam,NeuCMFww,32,0.01,500,0.6921
0.1,adam,NeuCMFww,32,0.01,1000,0.6922
0.1,adam,NeuCMFww,32,0.1,500,0.6952
0.1,adam,NeuCMFww,32,0.1,1000,0.7005
0.1,adam,NeuCMFww,64,0.0,500,0.7449
0.1,adam,NeuCMFww,64,0.0,1000,0.5842
0.1,adam,NeuCMFww,64,0.01,500,0.6899
0.1,adam,NeuCMFww,64,0.01,1000,0.685
0.1,adam,NeuCMFww,64,0.1,500,0.6956
0.1,adam,NeuCMFww,64,0.1,1000,0.6986
0.1,RMSprop,NeuCMF0i,32,0.0,500,1.0134
0.1,RMSprop,NeuCMF0i,32,0.0,1000,0.96
0.1,RMSprop,NeuCMF0i,32,0.01,500,0.7456
0.1,RMSprop,NeuCMF0i,32,0.01,1000,1.3344
0.1,RMSprop,NeuCMF0i,32,0.1,500,0.7603
0.1,RMSprop,NeuCMF0i,32,0.1,1000,0.8649
0.1,RMSprop,NeuCMF0i,64,0.0,500,0.9551
0.1,RMSprop,NeuCMF0i,64,0.0,1000,0.8023
0.1,RMSprop,NeuCMF0i,64,0.01,500,1.2535
0.1,RMSprop,NeuCMF0i,64,0.01,1000,1.2688
0.1,RMSprop,NeuCMF0i,64,0.1,500,0.8079
0.1,RMSprop,NeuCMF0i,64,0.1,1000,0.858
0.1,RMSprop,NeuCMF0w,32,0.0,500,0.9537
0.1,RMSprop,NeuCMF0w,32,0.0,1000,0.7491
0.1,RMSprop,NeuCMF0w,32,0.01,500,0.794
0.1,RMSprop,NeuCMF0w,32,0.01,1000,0.6793
0.1,RMSprop,NeuCMF0w,32,0.1,500,0.6915
0.1,RMSprop,NeuCMF0w,32,0.1,1000,0.6883
0.1,RMSprop,NeuCMF0w,64,0.0,500,1.0118
0.1,RMSprop,NeuCMF0w,64,0.0,1000,0.7809
0.1,RMSprop,NeuCMF0w,64,0.01,500,0.8257
0.1,RMSprop,NeuCMF0w,64,0.01,1000,0.7949
0.1,RMSprop,NeuCMF0w,64,0.1,500,0.6961
0.1,RMSprop,NeuCMF0w,64,0.1,1000,0.6882
0.1,RMSprop,NeuCMFi0,32,0.0,500,3.5372
0.1,RMSprop,NeuCMFi0,32,0.0,1000,2.7456
0.1,RMSprop,NeuCMFi0,32,0.01,500,0.904
0.1,RMSprop,NeuCMFi0,32,0.01,1000,1.0001
0.1,RMSprop,NeuCMFi0,32,0.1,500,0.7502
0.1,RMSprop,NeuCMFi0,32,0.1,1000,0.7419
0.1,RMSprop,NeuCMFi0,64,0.0,500,3.5721
0.1,RMSprop,NeuCMFi0,64,0.0,1000,3.2048
0.1,RMSprop,NeuCMFi0,64,0.01,500,0.8999
0.1,RMSprop,NeuCMFi0,64,0.01,1000,0.8119
0.1,RMSprop,NeuCMFi0,64,0.1,500,0.7301
0.1,RMSprop,NeuCMFi0,64,0.1,1000,0.727
0.1,RMSprop,NeuCMFii,32,0.0,500,7.5411
0.1,RMSprop,NeuCMFii,32,0.0,1000,8.8715
0.1,RMSprop,NeuCMFii,32,0.01,500,2.1634
0.1,RMSprop,NeuCMFii,32,0.01,1000,1.6517
0.1,RMSprop,NeuCMFii,32,0.1,500,0.8241
0.1,RMSprop,NeuCMFii,32,0.1,1000,0.7667
0.1,RMSprop,NeuCMFii,64,0.0,500,8.0648
0.1,RMSprop,NeuCMFii,64,0.0,1000,7.5967
0.1,RMSprop,NeuCMFii,64,0.01,500,1.0956
0.1,RMSprop,NeuCMFii,64,0.01,1000,1.6239
0.1,RMSprop,NeuCMFii,64,0.1,500,0.7288
0.1,RMSprop,NeuCMFii,64,0.1,1000,0.7741
0.1,RMSprop,NeuCMFw0,32,0.0,500,1.3547
0.1,RMSprop,NeuCMFw0,32,0.0,1000,1.0601
0.1,RMSprop,NeuCMFw0,32,0.01,500,0.8008
0.1,RMSprop,NeuCMFw0,32,0.01,1000,0.9178
0.1,RMSprop,NeuCMFw0,32,0.1,500,0.6932
0.1,RMSprop,NeuCMFw0,32,0.1,1000,0.6877
0.1,RMSprop,NeuCMFw0,64,0.0,500,1.8584
0.1,RMSprop,NeuCMFw0,64,0.0,1000,1.0951
0.1,RMSprop,NeuCMFw0,64,0.01,500,0.807
0.1,RMSprop,NeuCMFw0,64,0.01,1000,0.7777
0.1,RMSprop,NeuCMFw0,64,0.1,500,0.6908
0.1,RMSprop,NeuCMFw0,64,0.1,1000,0.6853
0.1,RMSprop,NeuCMFww,32,0.0,500,1.1932
0.1,RMSprop,NeuCMFww,32,0.0,1000,1.2444
