learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.0025494495342023,adam,NeuCMFww,64,1.39092239208491e-05,1000,0.4877
5.21051664490337e-05,RMSprop,NeuCMFii,32,0.0407150979418279,2000,0.6668
0.0037432642130728,adam,NeuCMF0i,512,0.0001791804578423,500,0.4783
0.000327420256739,adam,NeuCMFww,512,0.0006722975439201,2000,0.5285
0.0549337097621163,adam,NeuCMF0w,32,3.747442536737629e-05,1000,0.5541
2.5223129752079312e-05,RMSprop,NeuCMFi0,256,0.0018735976561199,4000,0.6716
0.0256451822839826,RMSprop,NeuCMF0w,128,0.0009267639946699,500,0.5813
0.0050684129845728,RMSprop,NeuCMFi0,256,0.008698898005881,500,0.5498
5.91261473800697e-05,RMSprop,NeuCMFw0,32,0.0117852518453337,1000,0.6252
0.0436297103118044,RMSprop,NeuCMFww,512,3.322665440836995e-05,2000,0.6419
0.0005702388840127,adam,NeuCMF0i,512,0.0001497616701293,500,0.4526
0.0005937826149104,adam,NeuCMF0i,512,0.0001356710270227,500,0.4501
0.0003983217571933,adam,NeuCMF0i,512,0.0001555709379831,500,0.4564
0.0004946104628477,adam,NeuCMF0i,512,0.0001294971941707,500,0.452
0.0001655502728332,adam,NeuCMF0i,64,7.21706476696212e-05,4000,0.5076
0.001238583493412,adam,NeuCMF0i,128,1.0352692284156757e-05,500,0.4401
0.0014415895893994,adam,NeuCMFw0,128,1.0197392892714554e-05,500,0.4868
0.0117950838324335,adam,NeuCMFii,128,2.593614539208577e-05,500,0.4587
0.0010322457175652,adam,NeuCMF0i,128,1.0008514363651813e-05,4000,0.451
0.0001678844965629,adam,NeuCMF0i,128,0.0004212752348208,500,0.5029
1.1759236628429198e-05,adam,NeuCMF0i,256,5.002210328552034e-05,500,0.5546
0.0013258699846059,adam,NeuCMF0i,128,1.4004904225891662e-05,4000,0.4494
0.0014963602854249,adam,NeuCMF0i,128,2.258924608324702e-05,4000,0.4483
0.001595462747979,adam,NeuCMF0i,128,2.029228701387825e-05,4000,0.4482
0.0089925335228556,adam,NeuCMF0i,128,2.427394044328478e-05,4000,0.4501
0.002167249214782,adam,NeuCMFw0,128,6.560800466698482e-05,4000,0.4967
0.0049080313176513,adam,NeuCMF0w,128,2.2688311126828203e-05,4000,0.4956
0.0003394087981947,RMSprop,NeuCMFww,64,0.0042890796539331,1000,0.533
0.0442683659638564,RMSprop,NeuCMF0w,32,9.479425930389732e-05,4000,1.0252
0.0001106911355618,adam,NeuCMFi0,64,0.0364566935990929,500,0.6487
4.926132364125809e-05,RMSprop,NeuCMFi0,32,0.0410217040555471,1000,0.6762
0.0760568896881471,RMSprop,NeuCMF0w,128,0.0001922776331127,4000,1.6523
9.068293719963337e-05,RMSprop,NeuCMFi0,256,0.0095365720805747,1000,0.56
0.0010121127951446,adam,NeuCMF0i,512,0.061079155717474,1000,0.6904
0.0056943833744855,RMSprop,NeuCMFww,32,5.3988809011438406e-05,2000,0.4918
0.0120788060676035,adam,NeuCMFw0,256,0.0079800676968427,500,0.6459
0.0004615054652459,adam,NeuCMFii,128,0.0611160107290774,2000,0.6631
0.0032776229869631,RMSprop,NeuCMFww,32,1.0242646747728228e-05,2000,0.4826
0.0037720842437239,RMSprop,NeuCMFww,32,1.3651238902227936e-05,2000,0.4827
0.0030316925760174,RMSprop,NeuCMFww,32,1.0052132817288576e-05,2000,0.4825
0.0017047055118063,RMSprop,NeuCMFww,32,1.2386469310389072e-05,2000,0.4839
0.0138130905567498,RMSprop,NeuCMFww,512,0.0005084922942078,2000,0.5065
1.7932691355278433e-05,RMSprop,NeuCMFw0,32,2.80826599037816e-05,2000,0.6545
0.0013563234998751,RMSprop,NeuCMF0i,32,1.0363875401296122e-05,2000,0.4443
0.000746995262703,RMSprop,NeuCMF0i,32,3.72923606714353e-05,2000,0.4623
0.0004662567873422,adam,NeuCMF0i,512,4.756410863527978e-05,500,0.4438
0.0002813726453504,adam,NeuCMF0i,512,0.0001670318696168,500,0.4653
0.001099980128849,adam,NeuCMF0i,512,0.0006302549754177,500,0.518
0.0005982385067626,adam,NeuCMF0i,512,3.567686089728385e-05,500,0.4423
0.0002270028438915,adam,NeuCMF0i,512,3.108525038529698e-05,500,0.4524
0.0006154701973562,adam,NeuCMF0i,512,8.471383980129408e-05,500,0.4459
0.0014455402666922,adam,NeuCMF0i,512,2.4376925800505724e-05,500,0.4424
0.00019489361224062958,adam,NeuCMFii,512,2.485250403950748e-05,500,0.4495
