learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
1e-05,adam,32,1e-05,500,4.675775051116943,21.906164169311523
1e-05,adam,32,1e-05,500,4.637587070465088,21.572280883789062
1e-05,adam,32,1e-05,500,3.834272623062134,14.835320472717283
1e-05,adam,32,1e-05,500,3.584153175354004,12.952588081359863
1e-05,adam,32,1e-05,500,2.337036609649658,5.883980751037598
1e-05,adam,32,1e-05,1000,4.873526573181152,23.756671905517575
1e-05,adam,32,1e-05,1000,4.881749153137207,23.835081100463867
1e-05,adam,32,1e-05,1000,3.983320236206055,15.976347923278809
1e-05,adam,32,1e-05,1000,3.8688223361968994,14.996489524841309
1e-05,adam,32,1e-05,1000,2.4454989433288574,6.395477294921875
1e-05,adam,32,1e-05,2000,4.925022602081299,24.25815773010254
1e-05,adam,32,1e-05,2000,4.937511920928955,24.380868911743164
1e-05,adam,32,1e-05,2000,4.048508644104004,16.495996475219727
1e-05,adam,32,1e-05,2000,3.915452718734741,15.358440399169922
1e-05,adam,32,1e-05,2000,2.555426836013794,6.939218997955322
1e-05,adam,32,1e-05,4000,4.9475417137146,24.48015785217285
1e-05,adam,32,1e-05,4000,4.975851058959961,24.760068893432617
1e-05,adam,32,1e-05,4000,4.08414363861084,16.784934997558594
1e-05,adam,32,1e-05,4000,3.9485349655151367,15.617934226989746
1e-05,adam,32,1e-05,4000,2.567589044570923,6.99991512298584
1e-05,adam,32,0.0001,500,4.702764511108398,22.14540672302246
1e-05,adam,32,0.0001,500,4.5923380851745605,21.17941665649414
1e-05,adam,32,0.0001,500,3.85352635383606,14.972681045532228
1e-05,adam,32,0.0001,500,3.5737006664276123,12.874767303466797
1e-05,adam,32,0.0001,500,2.2942044734954834,5.699924468994141
1e-05,adam,32,0.0001,1000,4.843397617340088,23.46720314025879
1e-05,adam,32,0.0001,1000,4.884076118469238,23.85750389099121
1e-05,adam,32,0.0001,1000,3.971627950668335,15.884451866149902
1e-05,adam,32,0.0001,1000,3.853316068649292,14.877790451049805
1e-05,adam,32,0.0001,1000,2.4866957664489746,6.59113073348999
1e-05,adam,32,0.0001,2000,4.936185359954834,24.36760711669922
1e-05,adam,32,0.0001,2000,4.958156585693359,24.58444595336914
1e-05,adam,32,0.0001,2000,4.049981117248535,16.507728576660156
1e-05,adam,32,0.0001,2000,3.9303698539733887,15.475072860717772
1e-05,adam,32,0.0001,2000,2.53358793258667,6.827523708343506
1e-05,adam,32,0.0001,4000,4.970775604248047,24.709796905517575
1e-05,adam,32,0.0001,4000,4.96259069442749,24.62872886657715
1e-05,adam,32,0.0001,4000,4.093345642089844,16.85943603515625
1e-05,adam,32,0.0001,4000,3.921077966690064,15.402827262878418
1e-05,adam,32,0.0001,4000,2.571297645568848,7.0190606117248535
1e-05,adam,32,0.001,500,4.665653228759766,21.81181526184082
1e-05,adam,32,0.001,500,4.7145843505859375,22.25297164916992
1e-05,adam,32,0.001,500,3.678975105285645,13.750845909118652
1e-05,adam,32,0.001,500,3.690786600112915,13.675614356994627
1e-05,adam,32,0.001,500,2.1514816284179688,5.128479957580566
1e-05,adam,32,0.001,1000,4.869333744049072,23.715126037597656
1e-05,adam,32,0.001,1000,4.814764022827148,23.19473648071289
1e-05,adam,32,0.001,1000,3.979638576507568,15.946709632873535
1e-05,adam,32,0.001,1000,3.794448137283325,14.437825202941896
1e-05,adam,32,0.001,1000,2.472445487976074,6.523678779602051
1e-05,adam,32,0.001,2000,4.945279598236084,24.457250595092773
1e-05,adam,32,0.001,2000,4.908401966094971,24.09791755676269
1e-05,adam,32,0.001,2000,4.059617042541504,16.58512306213379
1e-05,adam,32,0.001,2000,3.899713039398194,15.235875129699709
1e-05,adam,32,0.001,2000,2.5255286693573,6.786013126373291
1e-05,adam,32,0.001,4000,4.970831394195557,24.710176467895508
1e-05,adam,32,0.001,4000,4.985850811004639,24.859580993652344
1e-05,adam,32,0.001,4000,4.080574035644531,16.75611686706543
1e-05,adam,32,0.001,4000,3.944096565246582,15.58295726776123
1e-05,adam,32,0.001,4000,2.5829312801361084,7.079251289367676
1e-05,adam,32,0.01,500,4.7163166999816895,22.26654624938965
1e-05,adam,32,0.01,500,4.743467330932617,22.516942977905277
1e-05,adam,32,0.01,500,3.7768380641937256,14.419662475585938
1e-05,adam,32,0.01,500,3.6434786319732666,13.34577178955078
1e-05,adam,32,0.01,500,2.2868521213531494,5.671634197235107
1e-05,adam,32,0.01,1000,4.882693767547607,23.84467124938965
1e-05,adam,32,0.01,1000,4.863159656524658,23.655742645263672
1e-05,adam,32,0.01,1000,3.979746341705322,15.948342323303224
1e-05,adam,32,0.01,1000,3.8701813220977774,15.00648021697998
1e-05,adam,32,0.01,1000,2.5029311180114746,6.672602653503418
1e-05,adam,32,0.01,2000,4.935680389404297,24.36261940002441
1e-05,adam,32,0.01,2000,4.9438796043396,24.443435668945312
1e-05,adam,32,0.01,2000,4.07208776473999,16.687082290649414
1e-05,adam,32,0.01,2000,3.9057600498199454,15.282954216003418
1e-05,adam,32,0.01,2000,2.5344626903533936,6.831018447875977
1e-05,adam,32,0.01,4000,4.970457553863525,24.706451416015625
1e-05,adam,32,0.01,4000,4.956911563873291,24.57239532470703
1e-05,adam,32,0.01,4000,4.08803129196167,16.81692123413086
1e-05,adam,32,0.01,4000,3.952627182006836,15.650537490844728
1e-05,adam,32,0.01,4000,2.5593576431274414,6.959250926971436
1e-05,adam,32,0.1,500,4.577588081359863,21.05801773071289
1e-05,adam,32,0.1,500,4.520724296569824,20.578073501586918
1e-05,adam,32,0.1,500,3.7571184635162354,14.28208065032959
1e-05,adam,32,0.1,500,3.704559087753296,13.771203994750977
1e-05,adam,32,0.1,500,2.16328239440918,5.185962200164795
1e-05,adam,32,0.1,1000,4.906567096710205,24.076570510864254
1e-05,adam,32,0.1,1000,4.8402605056762695,23.438875198364254
1e-05,adam,32,0.1,1000,3.971195697784424,15.881211280822754
1e-05,adam,32,0.1,1000,3.8298537731170654,14.699488639831545
1e-05,adam,32,0.1,1000,2.4658751487731934,6.490620136260986
1e-05,adam,32,0.1,2000,4.949636459350586,24.500200271606445
1e-05,adam,32,0.1,2000,4.912678718566895,24.137758255004883
1e-05,adam,32,0.1,2000,4.066024303436279,16.638111114501953
1e-05,adam,32,0.1,2000,3.901862859725952,15.25259017944336
1e-05,adam,32,0.1,2000,2.526273727416992,6.791453838348389
1e-05,adam,32,0.1,4000,4.990638256072998,24.907440185546875
1e-05,adam,32,0.1,4000,4.954916000366211,24.55283546447754
1e-05,adam,32,0.1,4000,4.07138729095459,16.682239532470703
1e-05,adam,32,0.1,4000,3.9435243606567374,15.57843780517578
1e-05,adam,32,0.1,4000,2.5744848251342773,7.035159587860107
1e-05,adam,64,1e-05,500,4.358920574188232,19.224365234375
1e-05,adam,64,1e-05,500,4.62485933303833,21.428937911987305
1e-05,adam,64,1e-05,500,3.6971688270568848,13.842768669128418
