kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
10,10,0.0001,0.0001,10,0.0001,0.7366584745435589
10,10,0.0001,0.0001,10,0.001,0.7386900332678126
10,10,0.0001,0.0001,10,0.01,0.7502367886235396
10,10,0.0001,0.0001,10,0.1,0.8677491501470667
10,10,0.0001,0.0001,50,0.0001,0.7365444366936686
10,10,0.0001,0.0001,50,0.001,0.7396798866691837
10,10,0.0001,0.0001,50,0.01,0.8268192749423322
10,10,0.0001,0.0001,50,0.1,0.8948476981048723
10,10,0.0001,0.0001,100,0.0001,0.7363486546001378
10,10,0.0001,0.0001,100,0.001,0.7508785205802992
10,10,0.0001,0.0001,100,0.01,0.862063428127079
10,10,0.0001,0.0001,100,0.1,0.9035876268088316
10,10,0.0001,0.0001,200,0.0001,0.7384276223270931
10,10,0.0001,0.0001,200,0.001,0.7765028583778584
10,10,0.0001,0.0001,200,0.01,0.8829576575620917
10,10,0.0001,0.0001,200,0.1,0.9174787882740874
10,10,0.0001,0.001,10,0.0001,0.7357644217741467
10,10,0.0001,0.001,10,0.001,0.7385858823340471
10,10,0.0001,0.001,10,0.01,0.7525122026652723
10,10,0.0001,0.001,10,0.1,0.8631729634176388
10,10,0.0001,0.001,50,0.0001,0.7376355471875358
10,10,0.0001,0.001,50,0.001,0.7407098277527556
10,10,0.0001,0.001,50,0.01,0.8259736607880996
10,10,0.0001,0.001,50,0.1,0.8875644082778823
10,10,0.0001,0.001,100,0.0001,0.7364198720449141
10,10,0.0001,0.001,100,0.001,0.7509180205976461
10,10,0.0001,0.001,100,0.01,0.862947687623385
10,10,0.0001,0.001,100,0.1,0.9172928290839466
10,10,0.0001,0.001,200,0.0001,0.738088010844265
10,10,0.0001,0.001,200,0.001,0.7762782761509684
10,10,0.0001,0.001,200,0.01,0.8803715675412553
10,10,0.0001,0.001,200,0.1,0.920815370926584
10,10,0.0001,0.01,10,0.0001,0.7357814532261657
10,10,0.0001,0.01,10,0.001,0.7373108958500048
10,10,0.0001,0.01,10,0.01,0.7515458438594238
10,10,0.0001,0.01,10,0.1,0.8598767170003897
10,10,0.0001,0.01,50,0.0001,0.7358562817422287
10,10,0.0001,0.01,50,0.001,0.7401203448652952
10,10,0.0001,0.01,50,0.01,0.8279559045443402
10,10,0.0001,0.01,50,0.1,0.8945611172616454
10,10,0.0001,0.01,100,0.0001,0.7377270919094825
10,10,0.0001,0.01,100,0.001,0.7516096836706173
10,10,0.0001,0.01,100,0.01,0.8611491317830667
10,10,0.0001,0.01,100,0.1,0.8882805851444372
10,10,0.0001,0.01,200,0.0001,0.7380632689106151
10,10,0.0001,0.01,200,0.001,0.7779044183941762
10,10,0.0001,0.01,200,0.01,0.8750010506952013
10,10,0.0001,0.01,200,0.1,0.9063901620178622
10,10,0.0001,0.1,10,0.0001,0.7360109010808951
10,10,0.0001,0.1,10,0.001,0.7379099718302334
10,10,0.0001,0.1,10,0.01,0.751844290725902
10,10,0.0001,0.1,10,0.1,0.8529100302125608
10,10,0.0001,0.1,50,0.0001,0.7364900886289902
10,10,0.0001,0.1,50,0.001,0.7390830325849994
10,10,0.0001,0.1,50,0.01,0.8211147820510376
10,10,0.0001,0.1,50,0.1,0.8654034165170602
10,10,0.0001,0.1,100,0.0001,0.7356804010804123
10,10,0.0001,0.1,100,0.001,0.7517288041364417
10,10,0.0001,0.1,100,0.01,0.8478195952076383
10,10,0.0001,0.1,100,0.1,0.8690974681456586
10,10,0.0001,0.1,200,0.0001,0.7363823189008339
10,10,0.0001,0.1,200,0.001,0.7744360754227743
10,10,0.0001,0.1,200,0.01,0.8659094294075383
10,10,0.0001,0.1,200,0.1,0.8664291051995489
10,10,0.001,0.0001,10,0.0001,0.738097945552576
10,10,0.001,0.0001,10,0.001,0.7373491397829677
10,10,0.001,0.0001,10,0.01,0.75264110927261
10,10,0.001,0.0001,10,0.1,0.8676589436625024
10,10,0.001,0.0001,50,0.0001,0.7370132491634637
10,10,0.001,0.0001,50,0.001,0.7408663308447276
10,10,0.001,0.0001,50,0.01,0.8276024721243226
10,10,0.001,0.0001,50,0.1,0.8934193386233954
10,10,0.001,0.0001,100,0.0001,0.7382420941131462
10,10,0.001,0.0001,100,0.001,0.7531961146530233
10,10,0.001,0.0001,100,0.01,0.8656327258291985
10,10,0.001,0.0001,100,0.1,0.9106098603272827
