kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
225,193,0.0018006125334054,0.000915494884431,117,0.0324731698481691,0.8212658200662571
31,139,0.0303265046988591,0.0773460867528372,18,0.0003163082491989,0.7861632569766922
450,87,0.0011592778248002,0.0019362415567991,67,0.0821071866278509,0.8050093533654314
66,47,0.0004077973720688,0.000649589235244,39,0.0005780389837791,0.7521192036161176
284,95,0.0280668065950673,0.0152786058377829,104,0.0031221011567398,0.7995100685727777
286,12,0.0019295846099021,0.0038541291816969,20,0.0001803903965209,0.7664546998236648
432,195,0.0005752399417398,0.0576186837956272,22,0.0002798599219091,0.7746428653708529
21,91,0.0001072818146292,0.000267003994881,114,0.0165282543977656,0.8770138149744736
23,157,0.0482454061633076,0.0064316432719403,166,0.0005656218469609,0.8066182169684631
325,109,0.000805124822197,0.0060485777658996,111,0.0001161575159724,0.7661425365537766
148,26,0.0100154409263582,0.0001916931742627,62,0.0013098936537907,0.7828350286452341
364,54,0.0002390922741257,0.0007808508683397,162,0.0001007395068116,0.7625219057517079
377,49,0.0001937924628335,0.0006646444612874,200,0.0007507388870933,0.7826092142286439
163,52,0.0003497888917272,0.0001083578722853,162,0.0001241825684742,0.7530720666490458
139,57,0.0003733764309209,0.000102463708872,64,0.0012420784964768,0.7633150952662832
117,35,0.0054784052223962,0.0001046013052494,155,0.0002896310604239,0.7763625106557028
202,69,0.0005006198314793,0.0003291857612135,187,0.000103431881303,0.7537430880683413
90,130,0.000143895437103,0.0003044967297417,86,0.0005146741110951,0.7485030835651824
67,121,0.0001174017767832,0.000382521435313,49,0.0035589923772188,0.7762712707703593
94,162,0.0002243335525376,0.0013443837887608,88,0.0005685057489751,0.7566678683295864
72,130,0.0009028184135942,0.0005001088993415,47,0.0021961718792011,0.7789045746828074
182,74,0.0003123297287454,0.0002067818361836,144,0.0002237987401274,0.750379477409992
190,83,0.0001050596814711,0.0002053927091597,136,0.000359545477644,0.7554055962372572
95,67,0.0003102307757683,0.0004450011075385,89,0.0002110377801313,0.7487539063759702
244,72,0.0002089506567939,0.0003773397879455,89,0.0001859865444669,0.7556230234246761
115,105,0.0006614851566479,0.0002017807516415,137,0.0002147547004576,0.7608301017653778
196,148,0.0001857423040757,0.0012262782100878,78,0.0003877096496489,0.7540858038714626
163,112,0.0003081427509839,0.0004970630225641,129,0.0002026042041088,0.7553671878261485
95,179,0.0001545200633555,0.0001631377090146,95,0.0009980872262135,0.7617480755591958
215,70,0.0013939381158196,0.001093835918976,128,0.0004718323644686,0.7683408939916021
248,125,0.000525956805406,0.0002642509853853,101,0.0001591558226964,0.7656339563547634
56,41,0.0003969712002882,0.0006256380609093,81,0.0006101525895054,0.7519766065719412
38,33,0.0002774983187435,0.0004990554517362,78,0.0003119940694738,0.7490612761639498
117,79,0.000280009755699,0.0003732707145171,77,0.000271757299735,0.7531354036027434
44,16,0.0001522507145128,0.0008656803057227,120,0.0003802951463314,0.7482969290389184
43,10,0.0001436921783171,0.0016896996407347,117,0.0004144083616345,0.7495691917920025
12,27,0.0001529145647651,0.0009435503580123,72,0.0003818460785737,0.7476094116734205
87,23,0.0001443795146045,0.0009036633619651,60,0.0004083959321088,0.7490896995511842
30,20,0.0001020928691232,0.0016603590383477,102,0.0008274796170489,0.7557453063852917
10,96,0.0001627664054273,0.0009772839144592,10,0.0001758612292521,0.7465396384754364
20,99,0.0001591962338732,0.0025419901508646,40,0.0003050379807022,0.7491793584675764
497,134,0.000198808123587,0.0009745590079017,11,0.000155626400636,0.767055768383572
57,16,0.0001378662666482,0.0007934830531329,110,0.0001512717949947,0.7467386435833154
14,15,0.0001542783241446,0.0007660320164837,24,0.0001426059246247,0.7461636905834688
14,20,0.0004889769257737,0.0007589945908375,28,0.0001402112290297,0.7459370376001111
11,30,0.000540527452764,0.0023452711707328,35,0.0001411390637862,0.7472777426728201
14,35,0.0008127914288466,0.0023436973633923,26,0.0001554498147219,0.7482396746298106
54,12,0.0004902825378346,0.0032272070167463,27,0.0001203886573165,0.747266681354923
58,44,0.0020802204417989,0.0043042886271246,11,0.0001187031059853,0.7584299312673338
283,13,0.0005083200385022,0.0006716562423952,23,0.0001008306418641,0.7505662179663188
68,21,0.0004152451675539,0.001372676635224,31,0.0001356070118632,0.7474514581609442
44,30,0.0006506229518113,0.0032250568346867,33,0.0001411164293271,0.7452773088932446
44,61,0.0011484011798343,0.0033629320383113,17,0.000239085630928,0.7550096905780095
35,10,0.0002446370210367,0.0020199947235195,48,0.0001603818182266,0.7436452882333653
29,41,0.0002620437205337,0.0018834466342418,52,0.000170593258471,0.7479510910095536
79,22,0.0002473581215585,0.0006838189182684,41,0.000238678056503,0.747493034311983
130,34,0.000211257255392,0.0014553324672686,18,0.0001746410061723,0.7503366014551863
35,18,0.0003644870633905,0.0011657613926402,31,0.0001227226475419,0.7469915770699005
109,48,0.0001014401876631,0.0017795026710544,58,0.0002591033579336,0.747266320388076
67,27,0.000648020054548,0.0007676321910042,46,0.0001914157396549,0.7491861448482834
353,58,0.0001237968507911,0.0011933632838112,10,0.0001052171911841,0.7568184558722725
32,14,0.0003745673312396,0.0011715874133948,32,0.0001331329738347,0.7450735416313957
26,11,0.0001848705914343,0.0005965968271636,35,0.0001396639304816,0.7440183418223841
10,10,0.0001926344916497,0.0005402133580949,38,0.0001347614583931,0.7460274358451322
28,10,0.0002201868639767,0.0005364484120611,53,0.0001317289652403,0.7434813410453451
32,11,0.000236435886548,0.000519929358281,56,0.0002188075169055,0.7450088865315561
78,37,0.0003470072602968,0.0005610043687109,56,0.0001017433026287,0.7518662996303064
35,26,0.0002535674509638,0.000467665066275,44,0.0002093296783206,0.7474698613544554
411,20,0.0003798666446982,0.0004041773678306,68,0.000296647659091,0.768746338467942
51,10,0.0004440594051645,0.0005559292205786,51,0.0002463715390669,0.7469894507571654
101,28,0.0006433050832978,0.0003085880026424,34,0.0001963858485902,0.7517698042876007
26,10,0.0002125724231135,0.0005605819669459,36,0.0001315566626515,0.746843231589964
27,17,0.0003053910016659,0.0004327746947605,53,0.0001246062936041,0.7486322552571214
46,24,0.0001914509310481,0.0006287578888804,44,0.0001009217618176,0.7469689807787547
79,10,0.0002451874331993,0.0013445423337976,64,0.0001754288958698,0.7463849757435885
63,30,0.0003231737217696,0.0011369658981135,30,0.0002226918869552,0.7500016085434443
27,17,0.0001813259154714,0.0002564296784173,39,0.0001406800340265,0.7440557517038178
36,39,0.0004524168304283,0.0002513955833586,18,0.0002873723091722,0.7470077855724058
28,20,0.0002776731275942,0.0003888234832611,47,0.0003277151296107,0.7455608852423924
80,31,0.0001757757727609,0.0003368893581164,69,0.0003250928819624,0.7487225025074105
130,16,0.0002815246186747,0.000382956850289,49,0.0001968059909027,0.7585405490200378
24,22,0.0003548218103826,0.0002486723717852,40,0.0001580802293359,0.7482006429084757
45,17,0.0002306968500243,0.0004438280889485,56,0.0001488907421555,0.7466684638782614
25,25,0.000116168137926,0.0003280105623642,44,0.0002315622397359,0.7479638647301948
53,189,0.0002973989925354,0.0008487696858739,62,0.0001261079851491,0.7542266148573691
63,15,0.0003971195847256,0.0006983248882898,28,0.0001750663260526,0.7471683443688858
38,44,0.0001827836242644,0.0009983391535365,33,0.00011457821633,0.7474308556662981
70,20,0.0001262647106484,0.0001519022106899,22,0.0003496956958355,0.7472670354406067
21,33,0.0002161241487738,0.0002750757659097,48,0.0002653453323465,0.7485090734867951
48,25,0.0002611145260248,0.0015031870443377,40,0.0004569691468372,0.7460540770982169
87,14,0.0005830561676946,0.0004581044933548,74,0.0001378519688527,0.7483594119610305
10,10,0.0001775070508751,0.0005282763835763,36,0.000146422804017,0.7466109027834772
20,20,0.0002155043045274,0.0005856312085747,37,0.0001967788988996,0.7469444868647633
40,14,0.0003277493236031,0.0007845838538424,27,0.0001145554636114,0.746713737846962
10,28,0.0001296548678714,0.0007126892107423,42,0.0001637229687704,0.7463503252439992
26,23,0.0004534772423378,0.0010121676701552,15,0.0001452328903558,0.7452177848548265
55,36,0.0004671693817339,0.0010555362609501,17,0.0002220597175417,0.7476009363140234
31,23,0.0007885528348648,0.0020321120992777,177,0.0001686701299836,0.74818544232519
31,18,0.0003498939266884,0.0009015302213801,15,0.000114317942553,0.7445419266028881
104,52,0.0004061390536769,0.0009045747099323,21,0.0001146334181046,0.7502497413210827
228,30,0.0002752295461641,0.0015289392027793,15,0.0002733917063413,0.7586615897542393
32,18,0.0005632458159021,0.0006393633713143,24,0.0001404202642955,0.7452743836526426
36,14,0.0003493240902883,0.0006431132429259,24,0.0001009130492046,0.7456135037186823
61,18,0.0002407688870614,0.0003630743919705,30,0.0001934491451184,0.7482021076702182
22,14,0.0005463343028374,0.0012598449142321,53,0.0001529166961459,0.7464727062249895
51,24,0.0004078512735145,0.0008314865737066,15,0.0001401226897185,0.7427451511419932
73,24,0.0004185691518112,0.0009150572219958,20,0.0001328250191011,0.7457849290419887
45,115,0.0005792736946285,0.0010279199143619,14,0.0001140072950274,0.7513558929421826
90,166,0.0001673655273011,0.0008364051187712,13,0.0001852672782656,0.7470717835880942
50,32,0.0003208553935655,0.0006328918548576,23,0.0001317921885047,0.7480060792524212
61,43,0.0007131146246275,0.0011114995771154,32,0.0001583148077194,0.7501121796188709
29,19,0.0002896426888481,0.000469501064278,27,0.0002114226603404,0.7450139774031423
35,18,0.0004737580953918,0.0004929463147531,26,0.0002123339514174,0.7472502493543852
17,27,0.0003874750878636,0.0007405925412854,19,0.0001157390037945,0.7454084849959234
32,88,0.0003078019231781,0.0005163512161318,16,0.0002415837206121,0.7465767285046341
42,13,0.0002442031695937,0.0012852745224576,34,0.000172867949953,0.7465339154625739
56,22,0.0001971694676999,0.0006021615540713,10,0.0001407126237469,0.7437425610190728
55,23,0.0001964193381628,0.0005771560310129,13,0.0001425154468492,0.7466975584540176
72,38,0.0001453383163382,0.0004361884653955,21,0.0002090431240734,0.7456303940742095
21,10,0.0002213427631088,0.0008271455348963,25,0.0001225095002024,0.7452351118818971
161,10,0.0002148910875244,0.0008403538121085,11,0.0001023821694498,0.7503006526578404
21,17,0.0001760279794213,0.0006552561318096,25,0.0001246676903486,0.7474121436754677
28,19,0.0002305048100665,0.0009645118182323,29,0.0001716700026121,0.7462539523332933
19,14,0.0001663640001252,0.0007223376678115,20,0.0001519894549499,0.7466098067172992
35,23,0.0003061652660236,0.0004650746751209,17,0.0001149696170052,0.7447839655001788
49,23,0.0002729763571598,0.0004246568776815,17,0.0001158044159119,0.7454410801232717
39,10,0.0003347939709368,0.0004776379252697,10,0.0001250723334146,0.7501690636026764
64,28,0.0001992598935736,0.0003484964586958,39,0.0001007752088124,0.7468271803821227
283,144,0.0001503130416254,0.0005591942472785,13,0.0001821165499338,0.7543426753624176
55,13,0.0002869823768713,0.0011453526968466,96,0.0002380213226889,0.7474779401643072
10,22,0.0003646834613692,0.000303775346509,200,0.0001602901259934,0.7479562379127683
29,17,0.0002354830958319,0.0006136621245919,25,0.0001365063912137,0.7445071227028796
24,17,0.000228696606516,0.0007990426063182,29,0.0001304193834049,0.746716268781604
320,25,0.0002591958222528,0.0006178129107986,19,0.000113654170319,0.7592923827999735
39,13,0.0001338842221718,0.0004998264048868,15,0.0001952581536371,0.7461524294950418
28,34,0.0001986237374341,0.0007518737963734,35,0.0001514974382385,0.7483129031168011
47,21,0.0001659793286345,0.0008775162227591,25,0.000100097692401,0.745958501570941
21,15,0.0001108907174003,0.0004062549374256,152,0.000133952743338,0.7473059747989739
269,10,0.0002454336835192,0.0005479215526203,30,0.0001780490708327,0.7498299375375537
480,27,0.0003020183555039,0.00101259426404,44,0.0002137958048319,0.7691291675291462
34,19,0.000445521094357,0.0006666908267452,37,0.000116430601558,0.7467818513042545
35,17,0.0003652292629468,0.0006612350837832,24,0.0001395007633696,0.7472725072773387
17,21,0.0002965917397958,0.0005951936955726,20,0.0001526353723959,0.7446129458805751
17,22,0.0002197503505079,0.0005067866611079,16,0.0001604637248725,0.7441806527297963
11,31,0.0002861930074837,0.0003830999443201,17,0.0001622232609293,0.7472965105272021
46,22,0.0001869293094872,0.0004964481744875,21,0.0001973771709847,0.7459870335626488
58,25,0.0003295714572468,0.0004450540606254,10,0.0002698122169428,0.7465670471270011
30,30,0.0002551472408791,0.0005793430826369,15,0.0001454914680247,0.7442413663029376
18,28,0.000242062291443,0.0005819386331341,58,0.0001700693251902,0.7462986358795674
41,15,0.0002040110183645,0.0003529447718331,49,0.0002331796918389,0.7469255612326025
30,34,0.0001372149936299,0.0002860457901864,14,0.0003218644230256,0.7475021002777377
