learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.0002377642653008,RMSprop,NeuCMF0i,256,0.1,500,0.7171
5.827971398989216e-06,adam,NeuCMF0i,128,0.0,1000,4.0066
0.0295110450259697,adam,NeuCMFw0,128,0.0,1000,0.9911
0.0534533793939922,RMSprop,NeuCMFw0,128,0.1,1000,0.8125
0.0005021937587602,adam,NeuCMFi0,256,0.01,500,0.8246
4.6020893495399e-06,adam,NeuCMF0i,64,0.0,500,3.937
0.0116723489248308,adam,NeuCMFii,512,0.0,1000,0.8861
5.852410691892192e-05,RMSprop,NeuCMFii,32,0.1,1000,1.4116
4.835663940233713e-05,RMSprop,NeuCMF0i,512,0.01,1000,0.7659
1.16006159535657e-05,RMSprop,NeuCMF0w,256,0.0,500,3.9937
0.0009767886378466,RMSprop,NeuCMFww,256,0.1,500,0.7159
0.0009761318903274,RMSprop,NeuCMFww,256,0.1,500,0.715
0.0029179728397502,RMSprop,NeuCMFww,256,0.1,500,0.714
0.0019201773978905,RMSprop,NeuCMFww,256,0.1,500,0.7183
0.0056555940928513,RMSprop,NeuCMFww,64,0.1,500,0.7144
0.0071310177363011,RMSprop,NeuCMFww,64,0.1,500,0.7126
0.0947829591578603,RMSprop,NeuCMFww,64,0.1,500,2.5566
0.0048266889512137,RMSprop,NeuCMF0w,32,0.01,500,0.7397
0.0209416561088889,RMSprop,NeuCMFi0,64,0.1,500,0.7181
0.0042396010995741,RMSprop,NeuCMFww,64,0.1,500,0.7154
1.1698746466866032e-06,RMSprop,NeuCMFww,32,0.01,500,4.1168
0.02949482038753,RMSprop,NeuCMFii,64,0.01,500,0.785
0.0004639739692371,RMSprop,NeuCMFii,32,0.0,1000,0.7395
9.758792302431767e-06,RMSprop,NeuCMFi0,128,0.0,1000,4.0858
0.0246043753619965,adam,NeuCMF0i,128,0.0,1000,0.8314
1.1856284159225603e-06,RMSprop,NeuCMFww,256,0.01,500,4.1312
4.487108079631249e-05,RMSprop,NeuCMF0w,32,0.0,500,0.7993
0.0001991013686263,RMSprop,NeuCMF0i,512,0.1,500,0.7175
0.0022214110018452,RMSprop,NeuCMFi0,128,0.0,1000,0.8939
0.0002816739432118,RMSprop,NeuCMFww,32,0.0,500,0.8081
0.003913522828157,RMSprop,NeuCMF0w,512,0.0,500,0.7684
0.0875419803423752,adam,NeuCMF0i,512,0.1,500,0.7163
0.0953503621677424,adam,NeuCMF0i,512,0.1,500,0.7175
0.0030524591430972,adam,NeuCMFw0,512,0.1,500,0.7099
0.0050269527180691,adam,NeuCMFw0,512,0.1,500,0.7118
0.0044492806141702,adam,NeuCMFw0,512,0.1,500,0.7119
0.0019590799767261,adam,NeuCMFw0,256,0.1,500,0.7105
0.0010550187972631,adam,NeuCMFw0,256,0.1,500,0.7117
0.0008856323530976,adam,NeuCMFw0,256,0.1,500,0.7135
0.0109566030963114,adam,NeuCMFw0,64,0.1,1000,0.7116
0.0016869087306816,adam,NeuCMFw0,256,0.01,500,0.8019
0.0092965593277207,adam,NeuCMFw0,256,0.1,500,0.7112
0.0098842723209975,adam,NeuCMFw0,256,0.1,500,0.712
0.0121546264906808,adam,NeuCMFw0,256,0.1,500,0.7115
0.0022787617677464,adam,NeuCMFw0,256,0.1,500,0.7103
0.0009154314526965,adam,NeuCMFww,64,0.01,1000,0.7534
8.745365681879692e-05,adam,NeuCMFi0,64,0.0,500,0.8809
0.000120161936509,RMSprop,NeuCMF0i,256,0.1,500,0.7157
5.921204429850861e-06,adam,NeuCMF0i,512,0.0,1000,4.0048
1.2046443557024771e-05,adam,NeuCMFi0,128,0.0,1000,4.0848
7.347483410631257e-05,adam,NeuCMFii,256,0.1,1000,0.7268
0.0023170716154539,RMSprop,NeuCMFww,512,0.0,500,0.7609
2.7933616930053025e-05,RMSprop,NeuCMFw0,512,0.0,500,2.5963
2.028506137466738e-06,RMSprop,NeuCMF0i,32,0.1,1000,4.1129
0.0092109090297929,RMSprop,NeuCMF0i,256,0.0,1000,1.029
0.0223245255511247,RMSprop,NeuCMF0w,256,0.1,500,0.715
0.0645393802431483,RMSprop,NeuCMF0w,256,0.1,500,2.1655
0.0004435202214845,RMSprop,NeuCMF0w,256,0.1,500,0.7168
0.074845371533684,RMSprop,NeuCMF0w,256,0.1,500,2.1498
0.0036574776107151,RMSprop,NeuCMFw0,128,0.01,500,0.7299
0.0001497671040357,RMSprop,NeuCMFii,32,0.1,500,0.7165
0.0003278011637418,RMSprop,NeuCMF0w,256,0.1,500,0.7168
0.0071809463418406,RMSprop,NeuCMF0i,256,0.01,500,0.7255
0.0142287309038763,RMSprop,NeuCMF0w,256,0.1,500,0.7132
0.0222966812644966,RMSprop,NeuCMF0w,64,0.1,500,0.7172
0.028070963086325,RMSprop,NeuCMF0w,128,0.1,500,0.7156
0.020254671102559078,RMSprop,NeuCMF0w,128,0.1,500,0.7241
