,learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
0,1e-06,RMSprop,32,0.001,500,10,0.9598236203193664,1.3000330976056935
1,1e-06,RMSprop,32,0.001,500,20,0.9528762221336364,1.2863962776197375
2,1e-06,RMSprop,32,0.001,500,30,0.9486340880393982,1.280067388725389
3,1e-06,RMSprop,32,0.001,1000,10,0.9631429553031922,1.3045546690318328
4,1e-06,RMSprop,32,0.001,1000,20,0.9621182322502136,1.302823176267742
5,1e-06,RMSprop,32,0.001,1000,30,0.9579767346382141,1.2978330984764566
6,1e-06,RMSprop,32,0.1,500,10,0.9622464895248413,1.3029022968468462
7,1e-06,RMSprop,32,0.1,500,20,0.9551804184913635,1.2924725069686698
8,1e-06,RMSprop,32,0.1,500,30,0.9509446859359741,1.2840765850439873
9,1e-06,RMSprop,32,0.1,1000,10,0.966508972644806,1.3096542262581896
10,1e-06,RMSprop,32,0.1,1000,20,0.964944350719452,1.3072153570671448
11,1e-06,RMSprop,32,0.1,1000,30,0.9588802218437195,1.2994977682171651
12,1e-06,RMSprop,128,0.001,500,10,0.9574501276016235,1.2955365076663745
13,1e-06,RMSprop,128,0.001,500,20,0.9474050760269165,1.278077734904005
14,1e-06,RMSprop,128,0.001,500,30,0.941625428199768,1.2666967461567908
15,1e-06,RMSprop,128,0.001,1000,10,0.9671214580535888,1.309666115063056
16,1e-06,RMSprop,128,0.001,1000,20,0.9565112948417663,1.2935683361097077
17,1e-06,RMSprop,128,0.001,1000,30,0.9547869324684143,1.2917239642841696
18,1e-06,RMSprop,128,0.1,500,10,0.9564576148986816,1.2945544175920065
19,1e-06,RMSprop,128,0.1,500,20,0.9508771419525146,1.286576099133338
20,1e-06,RMSprop,128,0.1,500,30,0.9423340797424317,1.2692291265082787
21,1e-06,RMSprop,128,0.1,1000,10,0.9651852488517761,1.306449745517853
22,1e-06,RMSprop,128,0.1,1000,20,0.9581602215766907,1.2975660212152795
23,1e-06,RMSprop,128,0.1,1000,30,0.9502005100250244,1.2826628922354075
24,1e-06,RMSprop,512,0.001,500,10,0.9546139001846313,1.2915947443587794
25,1e-06,RMSprop,512,0.001,500,20,0.936827290058136,1.2601715168133907
26,1e-06,RMSprop,512,0.001,500,30,0.9273212313652038,1.2427828476296483
27,1e-06,RMSprop,512,0.001,1000,10,0.9654857397079468,1.3052179248016584
28,1e-06,RMSprop,512,0.001,1000,20,0.951026177406311,1.286155192504065
29,1e-06,RMSprop,512,0.001,1000,30,0.9443931579589844,1.2746772037143397
30,1e-06,RMSprop,512,0.1,500,10,0.9521885752677918,1.2874437629705802
31,1e-06,RMSprop,512,0.1,500,20,0.9386889696121216,1.264502715335208
32,1e-06,RMSprop,512,0.1,500,30,0.917249608039856,1.2220823606245559
33,1e-06,RMSprop,512,0.1,1000,10,0.959291672706604,1.2977749014974562
34,1e-06,RMSprop,512,0.1,1000,20,0.9550351500511169,1.2937058773427912
35,1e-06,RMSprop,512,0.1,1000,30,0.9476804256439209,1.2808996809337527
36,1e-06,adam,32,0.001,500,10,0.9632063031196594,1.3050408372481617
37,1e-06,adam,32,0.001,500,20,0.9551985144615174,1.2922079009517764
38,1e-06,adam,32,0.001,500,30,0.9488741993904114,1.2793896158935758
39,1e-06,adam,32,0.001,1000,10,0.9624628305435181,1.3045662944899816
40,1e-06,adam,32,0.001,1000,20,0.9602866291999816,1.300575898164078
41,1e-06,adam,32,0.001,1000,30,0.9546012997627258,1.2912877551159814
42,1e-06,adam,32,0.1,500,10,0.9597654819488526,1.3004348150297065
43,1e-06,adam,32,0.1,500,20,0.9525443077087402,1.2872864404032347
44,1e-06,adam,32,0.1,500,30,0.9477160453796387,1.2759600765833319
45,1e-06,adam,32,0.1,1000,10,0.96426340341568,1.306020653618612
46,1e-06,adam,32,0.1,1000,20,0.9614285826683044,1.303724050010155
47,1e-06,adam,32,0.1,1000,30,0.9560079216957093,1.2934126268408195
48,1e-06,adam,128,0.001,500,10,0.9570101022720336,1.2964348568242658
49,1e-06,adam,128,0.001,500,20,0.9476487278938294,1.2800216152831212
50,1e-06,adam,128,0.001,500,30,0.9345005273818969,1.252841524672201
51,1e-06,adam,128,0.001,1000,10,0.9672633886337281,1.3096886285500202
52,1e-06,adam,128,0.001,1000,20,0.951903474330902,1.2846628268576998
53,1e-06,adam,128,0.001,1000,30,0.9549177885055542,1.2931285214801078
54,1e-06,adam,128,0.1,500,10,0.9582227945327759,1.298344700881564
55,1e-06,adam,128,0.1,500,20,0.9462050557136535,1.2765473479320888
56,1e-06,adam,128,0.1,500,30,0.9369481801986694,1.2581867425301725
57,1e-06,adam,128,0.1,1000,10,0.9617212891578675,1.302640996025395
58,1e-06,adam,128,0.1,1000,20,0.9567034482955933,1.2949765409186509
59,1e-06,adam,128,0.1,1000,30,0.9575616717338562,1.2949699561919203
60,1e-06,adam,512,0.001,500,10,0.9495622754096985,1.2826025416546072
61,1e-06,adam,512,0.001,500,20,0.9286289691925049,1.2438472811756096
62,1e-06,adam,512,0.001,500,30,0.9148730635643005,1.2193733994657947
