learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,adam,FM,0.001,500,0.9522,1.293,0.5241,10,32
1e-06,adam,FM,0.001,1000,0.9548,1.2994,0.5129,10,32
1e-06,adam,FM,0.1,500,0.9531,1.2951,0.5187,10,32
1e-06,adam,FM,0.1,1000,0.9547,1.2983,0.5126,10,32
1e-06,adam,FM,0.001,500,0.9449,1.2742,0.511,10,128
1e-06,adam,FM,0.001,1000,0.9552,1.2997,0.5006,10,128
1e-06,adam,FM,0.1,500,0.9478,1.2815,0.5086,10,128
1e-06,adam,FM,0.1,1000,0.955,1.2985,0.4977,10,128
1e-06,adam,FM,0.001,500,0.9173,1.2104,0.5338,10,512
1e-06,adam,FM,0.001,1000,0.9421,1.2679,0.5158,10,512
1e-06,adam,FM,0.1,500,0.9256,1.2269,0.5156,10,512
1e-06,adam,FM,0.1,1000,0.9467,1.2787,0.5076,10,512
1e-06,adam,DeepFM,0.001,500,0.9431,1.2675,0.5034,10,32
1e-06,adam,DeepFM,0.001,1000,0.9508,1.2879,0.5028,10,32
1e-06,adam,DeepFM,0.1,500,0.9474,1.2797,0.5109,10,32
1e-06,adam,DeepFM,0.1,1000,0.9524,1.2917,0.5042,10,32
1e-06,adam,DeepFM,0.001,500,0.9329,1.2434,0.5114,10,128
1e-06,adam,DeepFM,0.001,1000,0.9464,1.2771,0.506,10,128
1e-06,adam,DeepFM,0.1,500,0.9396,1.2602,0.5053,10,128
1e-06,adam,DeepFM,0.1,1000,0.9506,1.2881,0.5018,10,128
1e-06,adam,DeepFM,0.001,500,0.8791,1.1229,0.5417,10,512
1e-06,adam,DeepFM,0.001,1000,0.924,1.2236,0.5236,10,512
1e-06,adam,DeepFM,0.1,500,0.9129,1.1955,0.5178,10,512
1e-06,adam,DeepFM,0.1,1000,0.9402,1.2618,0.5121,10,512
1e-06,RMSprop,FM,0.001,500,0.9513,1.2901,0.5184,10,32
1e-06,RMSprop,FM,0.001,1000,0.9558,1.3007,0.5017,10,32
1e-06,RMSprop,FM,0.1,500,0.9535,1.296,0.5146,10,32
1e-06,RMSprop,FM,0.1,1000,0.9552,1.3,0.5111,10,32
1e-06,RMSprop,FM,0.001,500,0.9484,1.2836,0.5186,10,128
1e-06,RMSprop,FM,0.001,1000,0.9541,1.2972,0.5015,10,128
1e-06,RMSprop,FM,0.1,500,0.9502,1.2876,0.5042,10,128
1e-06,RMSprop,FM,0.1,1000,0.9547,1.2978,0.4934,10,128
1e-06,RMSprop,FM,0.001,500,0.9245,1.227,0.5319,10,512
1e-06,RMSprop,FM,0.001,1000,0.9399,1.2625,0.512,10,512
1e-06,RMSprop,FM,0.1,500,0.9293,1.2361,0.52,10,512
1e-06,RMSprop,FM,0.1,1000,0.9477,1.281,0.5105,10,512
1e-06,RMSprop,DeepFM,0.001,500,0.945,1.2734,0.5128,10,32
1e-06,RMSprop,DeepFM,0.001,1000,0.9521,1.2916,0.5052,10,32
1e-06,RMSprop,DeepFM,0.1,500,0.9479,1.2805,0.5077,10,32
1e-06,RMSprop,DeepFM,0.1,1000,0.9536,1.2952,0.5012,10,32
1e-06,RMSprop,DeepFM,0.001,500,0.9353,1.2509,0.5202,10,128
1e-06,RMSprop,DeepFM,0.001,1000,0.9455,1.2742,0.4947,10,128
1e-06,RMSprop,DeepFM,0.1,500,0.9437,1.271,0.5144,10,128
1e-06,RMSprop,DeepFM,0.1,1000,0.9511,1.2888,0.5084,10,128
1e-06,RMSprop,DeepFM,0.001,500,0.8871,1.1404,0.5427,10,512
1e-06,RMSprop,DeepFM,0.001,1000,0.9275,1.2315,0.5195,10,512
1e-06,RMSprop,DeepFM,0.1,500,0.9229,1.2198,0.5183,10,512
1e-06,RMSprop,DeepFM,0.1,1000,0.9416,1.2659,0.5194,10,512
0.001,adam,FM,0.001,500,0.4823,0.6321,0.5571,10,32
0.001,adam,FM,0.001,1000,0.4929,0.6394,0.5582,10,32
0.001,adam,FM,0.1,500,0.6681,0.8295,0.5424,10,32
0.001,adam,FM,0.1,1000,0.668,0.8283,0.5454,10,32
0.001,adam,FM,0.001,500,0.4732,0.6217,0.5533,10,128
0.001,adam,FM,0.001,1000,0.4744,0.6198,0.5548,10,128
0.001,adam,FM,0.1,500,0.6692,0.8291,0.5442,10,128
