learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,adam,NeuCMFii,0.001,500,0.9457,1.2758,0.5076,10,32
1e-06,adam,NeuCMFii,0.001,1000,0.9522,1.2923,0.5146,10,32
1e-06,adam,NeuCMFii,0.1,500,0.9572,1.3046,0.5056,10,32
1e-06,adam,NeuCMFii,0.1,1000,0.9565,1.3025,0.5067,10,32
1e-06,adam,NeuCMFii,0.001,500,0.945,1.2743,0.5187,10,128
1e-06,adam,NeuCMFii,0.001,1000,0.9533,1.2948,0.519,10,128
1e-06,adam,NeuCMFii,0.1,500,0.9587,1.3083,0.5013,10,128
1e-06,adam,NeuCMFii,0.1,1000,0.9587,1.3084,0.504,10,128
1e-06,adam,NeuCMFii,0.001,500,0.9462,1.2771,0.5192,10,512
1e-06,adam,NeuCMFii,0.001,1000,0.9588,1.309,0.5049,10,512
1e-06,adam,NeuCMFii,0.1,500,0.9585,1.3077,0.5064,10,512
1e-06,adam,NeuCMFii,0.1,1000,0.9542,1.2966,0.5066,10,512
1e-06,adam,NeuCMFww,0.001,500,0.9512,1.2888,0.511,10,32
1e-06,adam,NeuCMFww,0.001,1000,0.9482,1.2807,0.5065,10,32
1e-06,adam,NeuCMFww,0.1,500,0.9476,1.279,0.4934,10,32
1e-06,adam,NeuCMFww,0.1,1000,0.9496,1.2845,0.4974,10,32
1e-06,adam,NeuCMFww,0.001,500,0.9555,1.2993,0.5148,10,128
1e-06,adam,NeuCMFww,0.001,1000,0.9583,1.3069,0.5034,10,128
1e-06,adam,NeuCMFww,0.1,500,0.9526,1.2915,0.4962,10,128
1e-06,adam,NeuCMFww,0.1,1000,0.959,1.3087,0.4965,10,128
1e-06,adam,NeuCMFww,0.001,500,0.9572,1.3037,0.5087,10,512
1e-06,adam,NeuCMFww,0.001,1000,0.9578,1.3056,0.5072,10,512
1e-06,adam,NeuCMFww,0.1,500,0.9581,1.3068,0.4968,10,512
1e-06,adam,NeuCMFww,0.1,1000,0.9549,1.2974,0.4975,10,512
1e-06,adam,NeuCMFi0,0.001,500,0.9534,1.2962,0.5376,10,32
1e-06,adam,NeuCMFi0,0.001,1000,0.9543,1.2973,0.5172,10,32
1e-06,adam,NeuCMFi0,0.1,500,0.9577,1.306,0.5099,10,32
1e-06,adam,NeuCMFi0,0.1,1000,0.9563,1.3021,0.5069,10,32
1e-06,adam,NeuCMFi0,0.001,500,0.9549,1.2998,0.5262,10,128
1e-06,adam,NeuCMFi0,0.001,1000,0.9563,1.3023,0.5175,10,128
1e-06,adam,NeuCMFi0,0.1,500,0.9566,1.3028,0.5076,10,128
1e-06,adam,NeuCMFi0,0.1,1000,0.9583,1.3074,0.5079,10,128
1e-06,adam,NeuCMFi0,0.001,500,0.9545,1.2988,0.5361,10,512
1e-06,adam,NeuCMFi0,0.001,1000,0.9577,1.3059,0.5099,10,512
1e-06,adam,NeuCMFi0,0.1,500,0.9579,1.3064,0.5098,10,512
1e-06,adam,NeuCMFi0,0.1,1000,0.9565,1.3024,0.503,10,512
1e-06,adam,NeuCMF0i,0.001,500,0.9316,1.2381,0.4987,10,32
1e-06,adam,NeuCMF0i,0.001,1000,0.9437,1.2686,0.4978,10,32
1e-06,adam,NeuCMF0i,0.1,500,0.9419,1.2646,0.4958,10,32
1e-06,adam,NeuCMF0i,0.1,1000,0.9508,1.2871,0.5003,10,32
1e-06,adam,NeuCMF0i,0.001,500,0.9253,1.2243,0.4954,10,128
1e-06,adam,NeuCMF0i,0.001,1000,0.9448,1.2725,0.4982,10,128
1e-06,adam,NeuCMF0i,0.1,500,0.9412,1.262,0.4969,10,128
1e-06,adam,NeuCMF0i,0.1,1000,0.9474,1.2779,0.4937,10,128
1e-06,adam,NeuCMF0i,0.001,500,0.9297,1.2342,0.4919,10,512
1e-06,adam,NeuCMF0i,0.001,1000,0.947,1.2774,0.4983,10,512
1e-06,adam,NeuCMF0i,0.1,500,0.9313,1.2368,0.5001,10,512
1e-06,adam,NeuCMF0i,0.1,1000,0.9397,1.2586,0.5075,10,512
1e-06,adam,NeuCMFw0,0.001,500,0.9554,1.2991,0.5123,10,32
1e-06,adam,NeuCMFw0,0.001,1000,0.9541,1.296,0.5066,10,32
1e-06,adam,NeuCMFw0,0.1,500,0.9531,1.2929,0.5025,10,32
1e-06,adam,NeuCMFw0,0.1,1000,0.9591,1.3087,0.504,10,32
1e-06,adam,NeuCMFw0,0.001,500,0.956,1.3009,0.499,10,128
1e-06,adam,NeuCMFw0,0.001,1000,0.9551,1.2983,0.5187,10,128
1e-06,adam,NeuCMFw0,0.1,500,0.9548,1.2977,0.498,10,128
1e-06,adam,NeuCMFw0,0.1,1000,0.9526,1.292,0.4984,10,128
1e-06,adam,NeuCMFw0,0.001,500,0.9568,1.3033,0.504,10,512
1e-06,adam,NeuCMFw0,0.001,1000,0.9604,1.3122,0.5048,10,512
1e-06,adam,NeuCMFw0,0.1,500,0.9529,1.2924,0.5115,10,512
1e-06,adam,NeuCMFw0,0.1,1000,0.9545,1.2971,0.496,10,512
