learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
0.0687418143127594,RMSprop,NeuCMFii,0.0816327082636553,500,0.7102,0.8798,0.5363,29,70
0.0148837730872836,adam,NeuCMFw0,0.0250288264042196,850,0.6951,0.8944,0.5018,25,470
0.0531920121812114,adam,NeuCMFww,0.0193496033119965,550,0.6941,0.8945,0.4997,14,336
0.0842555438765544,adam,NeuCMF0i,0.0565632472100163,550,0.7526,0.9775,0.4998,24,366
0.0259264951068501,RMSprop,NeuCMFi0,0.0808952710521651,600,0.7112,0.887,0.5246,25,499
0.0744101990504843,adam,NeuCMFw0,0.0556783588538076,550,0.6956,0.8947,0.4999,18,456
0.0418951268846056,RMSprop,NeuCMFww,0.0338690123149698,900,0.6838,0.881,0.5245,22,157
0.085587024535759,RMSprop,NeuCMFw0,0.0902111646399774,1000,0.829,1.0562,0.5217,20,506
0.0863953196429911,adam,NeuCMFw0,0.0615895958886638,850,0.6953,0.8944,0.5003,24,512
0.0065422684182941,adam,NeuCMFi0,0.0815252932611111,500,0.6924,0.866,0.5542,30,363
0.0363437272825224,RMSprop,NeuCMF0w,0.0085478098566665,1000,0.7073,0.9109,0.546,16,136
0.0001470632828652,RMSprop,NeuCMFww,0.0357965076441006,700,0.705,0.8923,0.5567,10,205
0.0435661967375366,adam,NeuCMFi0,0.0368604485725748,850,0.6658,0.8193,0.5452,29,251
0.0449332497794849,RMSprop,NeuCMFi0,0.0383579556450055,850,0.6858,0.8514,0.5361,27,233
0.0547750035408835,RMSprop,NeuCMFww,0.0418271049029782,750,0.6843,0.8867,0.5544,21,168
0.0343914895055532,adam,NeuCMF0i,0.0014047789999057,900,0.6437,0.8098,0.5423,28,33
0.031350624634491,adam,NeuCMF0i,0.0017174551643052,950,0.6412,0.804,0.5372,28,66
0.0259269721935984,adam,NeuCMF0i,0.0014420034803646,950,0.6447,0.8085,0.5352,27,44
0.0289196873183326,adam,NeuCMF0i,0.001757894465304,950,0.643,0.7991,0.5339,27,105
0.0218374422956036,adam,NeuCMF0i,0.0143074173247641,750,0.6941,0.8679,0.5195,23,110
0.0143972476091653,adam,NeuCMF0i,0.0116988292220527,950,0.6909,0.8723,0.5194,26,93
0.0334081043444636,adam,NeuCMF0i,0.0005029463823523,950,0.5655,0.7265,0.5547,28,52
0.0314685515303492,adam,NeuCMF0i,0.0018283809713593,950,0.6868,0.8648,0.5284,30,86
0.0330577011918239,adam,NeuCMF0i,0.0213961001896077,900,0.6928,0.8763,0.5184,27,196
0.0219849427377758,adam,NeuCMF0w,0.0100149277087444,1000,0.6369,0.7915,0.5462,28,125
0.0172477057011728,adam,NeuCMF0w,0.0106068025147297,1000,0.6262,0.7799,0.5487,30,61
0.0180922845822616,adam,NeuCMF0w,0.0125002954718181,1000,0.6369,0.792,0.5464,30,142
0.010168346881642,adam,NeuCMF0w,0.0257919574031087,1000,0.6969,0.8942,0.5029,25,32
0.022257895196832,adam,NeuCMF0w,0.0172940641048411,800,0.6933,0.8946,0.4994,19,295
0.0209049415680459,adam,NeuCMFii,0.0095361271291933,650,0.5755,0.7285,0.546,29,70
0.0100147933962224,adam,NeuCMFii,0.0273300829709132,650,0.6311,0.7807,0.545,29,68
0.0080445256945456,adam,NeuCMFii,0.008357407898858,650,0.5453,0.6961,0.548,29,68
0.0161484159438712,adam,NeuCMFii,0.0079556292154846,650,0.5573,0.7086,0.5488,30,63
0.002523460726512,adam,NeuCMFii,0.0190609748914952,700,0.5919,0.7383,0.5482,26,89
0.0135719365528932,adam,NeuCMFii,0.0062953364706676,650,0.5443,0.6981,0.5477,29,176
0.0088166235737113,adam,NeuCMFii,0.0227128000224541,650,0.6149,0.7635,0.5461,11,122
0.0136609829330034,adam,NeuCMFii,0.0064069859727583,600,0.5464,0.7003,0.5478,26,190
0.0144174598980633,adam,NeuCMFii,0.0151922050494181,600,0.5955,0.7471,0.5462,26,181
0.0142248054755669,adam,NeuCMFii,0.0061789758044509,600,0.5452,0.6998,0.5488,25,223
0.0047201098288438,adam,NeuCMFii,0.0295631695076785,600,0.625,0.7748,0.5489,23,296
8.416840209847856e-05,RMSprop,NeuCMFii,0.0170373126860457,500,0.5922,0.7368,0.5502,24,211
