learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
1e-06,adam,32,0.001,500,10,5.003272533416748,5.003366100213302
1e-06,adam,32,0.001,500,10,5.004734516143799,5.004833745948507
1e-06,adam,32,0.001,500,10,4.122419834136963,4.135151250026497
1e-06,adam,32,0.001,500,10,3.9687869548797607,3.9721866656463014
1e-06,adam,32,0.001,500,10,2.594989538192749,2.6722390445524273
1e-06,adam,32,0.001,1000,10,5.003923416137695,5.004019266202751
1e-06,adam,32,0.001,1000,10,5.007801532745361,5.007916668122424
1e-06,adam,32,0.001,1000,10,4.104012489318848,4.116732780347789
1e-06,adam,32,0.001,1000,10,3.9820549488067627,3.985487838617448
1e-06,adam,32,0.001,1000,10,2.6134705543518066,2.6904100143904137
1e-06,adam,32,0.001,500,20,4.989999771118164,4.990091806304926
1e-06,adam,32,0.001,500,20,4.991812229156494,4.991903998454413
1e-06,adam,32,0.001,500,20,4.125241279602051,4.13797868339465
1e-06,adam,32,0.001,500,20,3.9844703674316406,3.987845790303483
1e-06,adam,32,0.001,500,20,2.590324640274048,2.667785995725301
1e-06,adam,32,0.001,1000,20,4.987332344055176,4.987440930162517
1e-06,adam,32,0.001,1000,20,5.004426956176758,5.004523710440322
1e-06,adam,32,0.001,1000,20,4.127775192260742,4.140425767243946
1e-06,adam,32,0.001,1000,20,3.9836530685424805,3.9870595228326904
1e-06,adam,32,0.001,1000,20,2.595865249633789,2.673275853614861
1e-06,adam,32,0.001,500,30,4.998007774353027,4.9981161383316195
1e-06,adam,32,0.001,500,30,5.002411365509033,5.00251096618457
1e-06,adam,32,0.001,500,30,4.105847358703613,4.1186305490402155
1e-06,adam,32,0.001,500,30,3.9746286869049072,3.9780214402592904
1e-06,adam,32,0.001,500,30,2.594322443008423,2.6717031323218343
1e-06,adam,32,0.001,1000,30,4.999138355255127,4.999235857746357
1e-06,adam,32,0.001,1000,30,5.004261493682861,5.004359633478246
1e-06,adam,32,0.001,1000,30,4.122274875640869,4.134975047837681
1e-06,adam,32,0.001,1000,30,3.973546266555786,3.976969340259215
1e-06,adam,32,0.001,1000,30,2.6024694442749023,2.6797646380741
1e-06,adam,32,0.1,500,10,4.986052513122559,4.986149486983214
1e-06,adam,32,0.1,500,10,4.998918056488037,4.99901418504345
1e-06,adam,32,0.1,500,10,4.135292053222656,4.147915852251393
1e-06,adam,32,0.1,500,10,3.9709408283233643,3.9743348722776184
1e-06,adam,32,0.1,500,10,2.5953118801116943,2.6728071404899207
1e-06,adam,32,0.1,1000,10,4.998749732971191,4.998828941536524
1e-06,adam,32,0.1,1000,10,4.993927001953125,4.994017073229722
1e-06,adam,32,0.1,1000,10,4.11227560043335,4.124985203571947
1e-06,adam,32,0.1,1000,10,3.972235679626465,3.9756137637966242
1e-06,adam,32,0.1,1000,10,2.604280471801758,2.6815229974941643
1e-06,adam,32,0.1,500,20,5.006545543670654,5.006642506960616
1e-06,adam,32,0.1,500,20,4.9807891845703125,4.980917374096186
1e-06,adam,32,0.1,500,20,4.115268707275391,4.127980629232335
1e-06,adam,32,0.1,500,20,3.9814329147338867,3.984838122211427
1e-06,adam,32,0.1,500,20,2.594444990158081,2.6720177684809894
1e-06,adam,32,0.1,1000,20,4.999270439147949,4.999357563708029
1e-06,adam,32,0.1,1000,20,4.986589431762695,4.98670087258614
1e-06,adam,32,0.1,1000,20,4.1114654541015625,4.124164149823862
1e-06,adam,32,0.1,1000,20,3.9730827808380127,3.976463811283066
1e-06,adam,32,0.1,1000,20,2.592559576034546,2.669903926049534
1e-06,adam,32,0.1,500,30,4.991081237792969,4.9911888687819195
1e-06,adam,32,0.1,500,30,4.996150970458984,4.996238628848843
1e-06,adam,32,0.1,500,30,4.092404365539551,4.105232268254546
1e-06,adam,32,0.1,500,30,3.948118209838867,3.951598947160096
1e-06,adam,32,0.1,500,30,2.587470054626465,2.6650684057334755
1e-06,adam,32,0.1,1000,30,4.983062744140625,4.983186107659369
1e-06,adam,32,0.1,1000,30,4.998470783233643,4.998568711462113
1e-06,adam,32,0.1,1000,30,4.116842269897461,4.129564707356117
1e-06,adam,32,0.1,1000,30,3.9888529777526855,3.992281380760748
1e-06,adam,32,0.1,1000,30,2.5859451293945312,2.663698859580878
1e-06,adam,128,0.001,500,10,5.005763053894043,5.005886618085739
1e-06,adam,128,0.001,500,10,4.992504119873047,4.992609474842403
1e-06,adam,128,0.001,500,10,4.113373756408691,4.1261407835291966
1e-06,adam,128,0.001,500,10,3.96392822265625,3.9673571207415317
1e-06,adam,128,0.001,500,10,2.6061675548553467,2.683223160166183
1e-06,adam,128,0.001,1000,10,5.005631446838379,5.005741827958064
1e-06,adam,128,0.001,1000,10,5.00664758682251,5.0067701281453765
1e-06,adam,128,0.001,1000,10,4.106261253356934,4.118972999197158
1e-06,adam,128,0.001,1000,10,3.9813127517700195,3.9847498100362566
1e-06,adam,128,0.001,1000,10,2.597459554672241,2.674667148737739
1e-06,adam,128,0.001,500,20,5.013132572174072,5.013246536788616
1e-06,adam,128,0.001,500,20,5.011162281036377,5.011280876173023
1e-06,adam,128,0.001,500,20,4.115483283996582,4.1281901652573305
1e-06,adam,128,0.001,500,20,3.9551353454589844,3.958589659305354
1e-06,adam,128,0.001,500,20,2.5939440727233887,2.6713400857432457
1e-06,adam,128,0.001,1000,20,4.9927215576171875,4.992838308211898
1e-06,adam,128,0.001,1000,20,4.983870029449463,4.984006670792771
1e-06,adam,128,0.001,1000,20,4.12209939956665,4.13485488470908
1e-06,adam,128,0.001,1000,20,3.967602252960205,3.971049806365595
1e-06,adam,128,0.001,1000,20,2.5947415828704834,2.672073089216725
1e-06,adam,128,0.001,500,30,5.00609827041626,5.006207237108638
