learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,adam,FM,0.001,500,4.1299,4.2355,0.5098,10,32
1e-06,adam,FM,0.001,1000,4.1256,4.2315,0.5222,10,32
1e-06,adam,FM,0.1,500,4.1254,4.2313,0.5222,10,32
1e-06,adam,FM,0.1,1000,4.1235,4.2293,0.511,10,32
1e-06,adam,FM,0.001,500,4.1211,4.227,0.4998,10,128
1e-06,adam,FM,0.001,1000,4.1213,4.2272,0.4915,10,128
1e-06,adam,FM,0.1,500,4.1213,4.2271,0.4996,10,128
1e-06,adam,FM,0.1,1000,4.1214,4.2273,0.4915,10,128
1e-06,adam,FM,0.001,500,4.1214,4.2272,0.5056,10,512
1e-06,adam,FM,0.001,1000,4.1229,4.2286,0.4879,10,512
1e-06,adam,FM,0.1,500,4.1244,4.2301,0.4811,10,512
1e-06,adam,FM,0.1,1000,4.1242,4.23,0.4841,10,512
1e-06,adam,DeepFM,0.001,500,4.1256,4.2313,0.503,10,32
1e-06,adam,DeepFM,0.001,1000,4.1205,4.2263,0.528,10,32
1e-06,adam,DeepFM,0.1,500,4.1197,4.2256,0.5103,10,32
1e-06,adam,DeepFM,0.1,1000,4.1208,4.2267,0.5281,10,32
1e-06,adam,DeepFM,0.001,500,4.1221,4.2279,0.503,10,128
1e-06,adam,DeepFM,0.001,1000,4.1235,4.2292,0.4976,10,128
1e-06,adam,DeepFM,0.1,500,4.1229,4.2287,0.4828,10,128
1e-06,adam,DeepFM,0.1,1000,4.1241,4.2298,0.4829,10,128
1e-06,adam,DeepFM,0.001,500,4.1155,4.2215,0.5113,10,512
1e-06,adam,DeepFM,0.001,1000,4.119,4.2249,0.5193,10,512
1e-06,adam,DeepFM,0.1,500,4.1167,4.2226,0.4904,10,512
1e-06,adam,DeepFM,0.1,1000,4.1189,4.2248,0.5067,10,512
1e-06,RMSprop,FM,0.001,500,4.1251,4.2309,0.522,10,32
1e-06,RMSprop,FM,0.001,1000,4.1253,4.2311,0.5221,10,32
1e-06,RMSprop,FM,0.1,500,4.1252,4.231,0.5222,10,32
1e-06,RMSprop,FM,0.1,1000,4.1254,4.2313,0.5222,10,32
1e-06,RMSprop,FM,0.001,500,4.1203,4.2262,0.4913,10,128
1e-06,RMSprop,FM,0.001,1000,4.121,4.2269,0.4998,10,128
1e-06,RMSprop,FM,0.1,500,4.1208,4.2267,0.4996,10,128
1e-06,RMSprop,FM,0.1,1000,4.1213,4.2271,0.4996,10,128
1e-06,RMSprop,FM,0.001,500,4.1217,4.2275,0.514,10,512
1e-06,RMSprop,FM,0.001,1000,4.1201,4.2261,0.509,10,512
1e-06,RMSprop,FM,0.1,500,4.1246,4.2303,0.4869,10,512
1e-06,RMSprop,FM,0.1,1000,4.1211,4.227,0.5039,10,512
1e-06,RMSprop,DeepFM,0.001,500,4.1177,4.2236,0.5276,10,32
1e-06,RMSprop,DeepFM,0.001,1000,4.1191,4.225,0.5098,10,32
1e-06,RMSprop,DeepFM,0.1,500,4.1186,4.2245,0.528,10,32
1e-06,RMSprop,DeepFM,0.1,1000,4.1198,4.2256,0.5281,10,32
1e-06,RMSprop,DeepFM,0.001,500,4.1202,4.2261,0.5024,10,128
1e-06,RMSprop,DeepFM,0.001,1000,4.1221,4.2278,0.503,10,128
1e-06,RMSprop,DeepFM,0.1,500,4.1217,4.2275,0.5035,10,128
1e-06,RMSprop,DeepFM,0.1,1000,4.1231,4.2289,0.5036,10,128
1e-06,RMSprop,DeepFM,0.001,500,4.1158,4.2218,0.5003,10,512
1e-06,RMSprop,DeepFM,0.001,1000,4.1096,4.2158,0.5248,10,512
1e-06,RMSprop,DeepFM,0.1,500,4.1087,4.2149,0.5076,10,512
1e-06,RMSprop,DeepFM,0.1,1000,4.1128,4.2189,0.4981,10,512
1e-06,adam,FM,0.001,500,4.1248,4.2306,0.5218,20,32
1e-06,adam,FM,0.001,1000,4.1253,4.2311,0.522,20,32
1e-06,adam,FM,0.1,500,4.1249,4.2307,0.5222,20,32
1e-06,adam,FM,0.1,1000,4.1254,4.2312,0.5222,20,32
1e-06,adam,FM,0.001,500,4.1199,4.2258,0.4998,20,128
1e-06,adam,FM,0.001,1000,4.1209,4.2268,0.4998,20,128
1e-06,adam,FM,0.1,500,4.1203,4.2262,0.4997,20,128
1e-06,adam,FM,0.1,1000,4.1212,4.2271,0.4997,20,128
1e-06,adam,FM,0.001,500,4.1185,4.2244,0.4737,20,512
1e-06,adam,FM,0.001,1000,4.1233,4.2291,0.456,20,512
1e-06,adam,FM,0.1,500,4.1209,4.2267,0.4722,20,512
1e-06,adam,FM,0.1,1000,4.1203,4.2262,0.4606,20,512
1e-06,adam,DeepFM,0.001,500,4.116,4.222,0.5272,20,32
1e-06,adam,DeepFM,0.001,1000,4.119,4.2249,0.5279,20,32
1e-06,adam,DeepFM,0.1,500,4.1173,4.2232,0.5276,20,32
1e-06,adam,DeepFM,0.1,1000,4.1196,4.2254,0.5103,20,32
1e-06,adam,DeepFM,0.001,500,4.1177,4.2236,0.4815,20,128
1e-06,adam,DeepFM,0.001,1000,4.1218,4.2276,0.503,20,128
1e-06,adam,DeepFM,0.1,500,4.1203,4.2261,0.5033,20,128
1e-06,adam,DeepFM,0.1,1000,4.1227,4.2285,0.4828,20,128
1e-06,adam,DeepFM,0.001,500,4.097,4.2034,0.48,20,512
1e-06,adam,DeepFM,0.001,1000,4.1173,4.2231,0.4932,20,512
1e-06,adam,DeepFM,0.1,500,4.103,4.2093,0.4959,20,512
1e-06,adam,DeepFM,0.1,1000,4.1215,4.2274,0.5108,20,512
1e-06,RMSprop,FM,0.001,500,4.1244,4.2303,0.5218,20,32
1e-06,RMSprop,FM,0.001,1000,4.125,4.2308,0.5219,20,32
1e-06,RMSprop,FM,0.1,500,4.1246,4.2304,0.5223,20,32
1e-06,RMSprop,FM,0.1,1000,4.1251,4.2309,0.5222,20,32
1e-06,RMSprop,FM,0.001,500,4.1194,4.2253,0.4998,20,128
1e-06,RMSprop,FM,0.001,1000,4.1203,4.2262,0.4998,20,128
1e-06,RMSprop,FM,0.1,500,4.1198,4.2257,0.4996,20,128
1e-06,RMSprop,FM,0.1,1000,4.1207,4.2266,0.4997,20,128
1e-06,RMSprop,FM,0.001,500,4.121,4.2268,0.5,20,512
1e-06,RMSprop,FM,0.001,1000,4.1223,4.2281,0.5232,20,512
1e-06,RMSprop,FM,0.1,500,4.119,4.2249,0.4958,20,512
1e-06,RMSprop,FM,0.1,1000,4.1215,4.2273,0.5136,20,512
