learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
0.0208999620703813,RMSprop,FM,0.0442195467030543,650,0.7231,0.9468,0.4837,22,307
0.0386206061142937,adam,DeepFM,0.0947019532804217,900,0.7182,0.9453,0.4671,24,73
1.1091975958508092e-06,adam,FM,0.0226738847548272,600,4.1274,4.2332,0.5029,12,120
6.600495429245317e-06,adam,DeepFM,0.008934466765493,900,3.965,4.075,0.5362,17,55
0.0330421799774925,adam,DeepFM,3.019667594866758e-05,700,3.1357,3.8638,0.4819,23,358
0.0007328487781427,adam,FM,2.834881401157681e-05,700,1.086,1.3442,0.4858,19,146
9.408988796554909e-05,RMSprop,DeepFM,0.0304283385268229,600,0.7278,0.9459,0.4753,27,290
0.001487087506688,RMSprop,FM,0.0067418049951381,750,0.8317,1.0606,0.4829,14,194
0.0148165755665355,adam,DeepFM,0.0013114170792798,850,0.8385,1.0655,0.4973,15,212
1.7650674848078584e-06,adam,DeepFM,0.0003871025035083,950,4.094,4.2005,0.4733,18,112
0.0046943369245457,RMSprop,DeepFM,1.3642974973083347e-06,500,0.8071,1.0319,0.4765,30,43
0.0794410107809918,RMSprop,FM,0.0962192799251148,850,1.5701,1.8562,0.5053,24,391
0.0732464382854815,RMSprop,FM,0.0776666320320499,1000,2.6861,2.9615,0.4636,23,493
0.0079477672225375,RMSprop,FM,0.0064451172913578,800,0.784,0.9985,0.4832,26,294
0.0972669129922257,RMSprop,DeepFM,0.0987641269746118,600,9.0567,11.8816,0.5121,21,396
0.0034273089459829,adam,FM,0.0026310699313871,500,0.9221,1.1678,0.4801,29,223
0.0139504624805914,adam,FM,0.0209587597072713,700,0.7329,0.9478,0.4831,21,333
0.0002672714589659,RMSprop,DeepFM,0.0274240721712725,1000,0.7338,0.9479,0.4867,26,244
0.0257470027960518,RMSprop,DeepFM,0.001411499311783,800,4.4822,4.7481,0.4933,21,485
0.0030236020429855,adam,FM,0.0038514705282044,650,0.8651,1.0996,0.4873,10,168
0.0234428000729436,RMSprop,DeepFM,0.0108156272443346,900,0.9629,1.2831,0.4921,24,97
