learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,adam,NeuCMFii,0.001,500,4.1043,4.2105,0.4951,10,32
1e-06,adam,NeuCMFii,0.001,1000,4.1156,4.2215,0.467,10,32
1e-06,adam,NeuCMFii,0.1,500,4.1155,4.2214,0.4551,10,32
1e-06,adam,NeuCMFii,0.1,1000,4.116,4.222,0.4558,10,32
1e-06,adam,NeuCMFii,0.001,500,4.1092,4.2153,0.4941,10,128
1e-06,adam,NeuCMFii,0.001,1000,4.113,4.219,0.4561,10,128
1e-06,adam,NeuCMFii,0.1,500,4.11,4.216,0.4547,10,128
1e-06,adam,NeuCMFii,0.1,1000,4.1134,4.2194,0.4598,10,128
1e-06,adam,NeuCMFii,0.001,500,4.1016,4.2079,0.5023,10,512
1e-06,adam,NeuCMFii,0.001,1000,4.094,4.2005,0.5085,10,512
1e-06,adam,NeuCMFii,0.1,500,4.1312,4.2368,0.5077,10,512
1e-06,adam,NeuCMFii,0.1,1000,4.1248,4.2305,0.5022,10,512
1e-06,adam,NeuCMFww,0.001,500,4.12,4.2258,0.5269,10,32
1e-06,adam,NeuCMFww,0.001,1000,4.1047,4.2109,0.5047,10,32
1e-06,adam,NeuCMFww,0.1,500,4.1201,4.2259,0.509,10,32
1e-06,adam,NeuCMFww,0.1,1000,4.1048,4.211,0.5041,10,32
1e-06,adam,NeuCMFww,0.001,500,4.1346,4.2401,0.5063,10,128
1e-06,adam,NeuCMFww,0.001,1000,4.1072,4.2134,0.5118,10,128
1e-06,adam,NeuCMFww,0.1,500,4.1168,4.2227,0.4965,10,128
1e-06,adam,NeuCMFww,0.1,1000,4.131,4.2365,0.5058,10,128
1e-06,adam,NeuCMFww,0.001,500,4.1148,4.2208,0.4614,10,512
1e-06,adam,NeuCMFww,0.001,1000,4.1144,4.2204,0.5059,10,512
1e-06,adam,NeuCMFww,0.1,500,4.1123,4.2184,0.536,10,512
1e-06,adam,NeuCMFww,0.1,1000,4.1264,4.2321,0.4997,10,512
1e-06,adam,NeuCMFi0,0.001,500,4.1379,4.2432,0.4712,10,32
1e-06,adam,NeuCMFi0,0.001,1000,4.1333,4.2387,0.521,10,32
1e-06,adam,NeuCMFi0,0.1,500,4.1257,4.2314,0.5226,10,32
1e-06,adam,NeuCMFi0,0.1,1000,4.1379,4.2433,0.5103,10,32
1e-06,adam,NeuCMFi0,0.001,500,4.1321,4.2376,0.5129,10,128
1e-06,adam,NeuCMFi0,0.001,1000,4.1226,4.2283,0.5026,10,128
1e-06,adam,NeuCMFi0,0.1,500,4.1136,4.2196,0.488,10,128
1e-06,adam,NeuCMFi0,0.1,1000,4.132,4.2375,0.513,10,128
1e-06,adam,NeuCMFi0,0.001,500,4.1136,4.2196,0.4863,10,512
1e-06,adam,NeuCMFi0,0.001,1000,4.1203,4.2262,0.4988,10,512
1e-06,adam,NeuCMFi0,0.1,500,4.0966,4.2029,0.5053,10,512
1e-06,adam,NeuCMFi0,0.1,1000,4.1297,4.2353,0.4663,10,512
1e-06,adam,NeuCMF0i,0.001,500,4.1232,4.2289,0.5552,10,32
1e-06,adam,NeuCMF0i,0.001,1000,4.1218,4.2276,0.5258,10,32
1e-06,adam,NeuCMF0i,0.1,500,4.1235,4.2292,0.5392,10,32
1e-06,adam,NeuCMF0i,0.1,1000,4.1243,4.2301,0.5314,10,32
1e-06,adam,NeuCMF0i,0.001,500,4.0983,4.2047,0.4767,10,128
1e-06,adam,NeuCMF0i,0.001,1000,4.0918,4.1983,0.5216,10,128
1e-06,adam,NeuCMF0i,0.1,500,4.1062,4.2124,0.5311,10,128
1e-06,adam,NeuCMF0i,0.1,1000,4.0919,4.1984,0.5024,10,128
1e-06,adam,NeuCMF0i,0.001,500,4.101,4.2074,0.5243,10,512
1e-06,adam,NeuCMF0i,0.001,1000,4.1228,4.2285,0.4538,10,512
1e-06,adam,NeuCMF0i,0.1,500,4.0739,4.1809,0.4636,10,512
1e-06,adam,NeuCMF0i,0.1,1000,4.1386,4.244,0.5191,10,512
1e-06,adam,NeuCMFw0,0.001,500,4.1346,4.2401,0.515,10,32
1e-06,adam,NeuCMFw0,0.001,1000,4.1348,4.2402,0.4933,10,32
1e-06,adam,NeuCMFw0,0.1,500,4.1347,4.2401,0.5028,10,32
1e-06,adam,NeuCMFw0,0.1,1000,4.1307,4.2362,0.5452,10,32
1e-06,adam,NeuCMFw0,0.001,500,4.1115,4.2175,0.5157,10,128
1e-06,adam,NeuCMFw0,0.001,1000,4.1202,4.2261,0.5399,10,128
1e-06,adam,NeuCMFw0,0.1,500,4.122,4.2277,0.4785,10,128
1e-06,adam,NeuCMFw0,0.1,1000,4.1205,4.2264,0.5284,10,128
1e-06,adam,NeuCMFw0,0.001,500,4.1206,4.2264,0.5085,10,512
1e-06,adam,NeuCMFw0,0.001,1000,4.1141,4.2201,0.4905,10,512
1e-06,adam,NeuCMFw0,0.1,500,4.1284,4.234,0.4678,10,512
1e-06,adam,NeuCMFw0,0.1,1000,4.1076,4.2138,0.5098,10,512
1e-06,adam,NeuCMF0w,0.001,500,4.1155,4.2215,0.5043,10,32
1e-06,adam,NeuCMF0w,0.001,1000,4.0975,4.2039,0.494,10,32
1e-06,adam,NeuCMF0w,0.1,500,4.1155,4.2214,0.4806,10,32
1e-06,adam,NeuCMF0w,0.1,1000,4.1174,4.2233,0.5156,10,32
1e-06,adam,NeuCMF0w,0.001,500,4.1202,4.2261,0.4749,10,128
1e-06,adam,NeuCMF0w,0.001,1000,4.1125,4.2185,0.4963,10,128
1e-06,adam,NeuCMF0w,0.1,500,4.0996,4.2059,0.4872,10,128
1e-06,adam,NeuCMF0w,0.1,1000,4.1205,4.2264,0.4764,10,128
1e-06,adam,NeuCMF0w,0.001,500,4.081,4.1878,0.5213,10,512
1e-06,adam,NeuCMF0w,0.001,1000,4.1085,4.2146,0.527,10,512
1e-06,adam,NeuCMF0w,0.1,500,4.1229,4.2287,0.4968,10,512
1e-06,adam,NeuCMF0w,0.1,1000,4.1043,4.2106,0.5102,10,512
1e-06,RMSprop,NeuCMFii,0.001,500,4.1283,4.2339,0.4573,10,32
