learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
0.0089423545175286,RMSprop,NeuCMF0i,1.9074573436717107e-05,650,0.831,1.0399,0.4979,12,480
0.0122079166261317,RMSprop,NeuCMFww,0.0010776376476201,600,0.7774,0.9936,0.4966,30,477
0.0141371634160257,adam,NeuCMFww,0.0029971956955618,900,0.7762,0.9884,0.4841,29,299
0.0027199637234154,RMSprop,NeuCMF0i,0.0006622142634681,1000,0.7539,0.966,0.4981,28,259
1.2319771834376196e-05,adam,NeuCMFww,0.0003731993224602,900,4.0627,4.17,0.4716,17,278
5.000318608151692e-05,RMSprop,NeuCMFw0,0.0017627559809742,850,1.4365,1.6342,0.4996,17,500
2.5940869065639388e-05,adam,NeuCMFi0,0.001078751779807,900,3.8562,3.9693,0.481,25,198
0.0013004586589564,RMSprop,NeuCMF0i,0.0007853188146119,700,0.738,0.953,0.4987,29,252
9.576399584693304e-05,adam,NeuCMFii,0.0059043831446408,950,0.7197,0.9435,0.4782,20,311
0.0003590657647549,adam,NeuCMFww,2.4333525999786284e-06,500,0.8002,1.0038,0.4897,19,290
1.4998965074270314e-06,adam,NeuCMFii,0.0554339919613113,1000,4.1092,4.2153,0.4926,23,44
0.0006059253044014,RMSprop,NeuCMF0w,0.012045703431949,750,0.7381,0.9502,0.4855,22,389
0.0014136768230133,RMSprop,NeuCMFii,9.966935900310682e-05,750,0.7531,0.9637,0.4981,13,160
0.0001494513898945,adam,NeuCMF0i,0.0188452215951938,650,0.7179,0.9437,0.4612,26,374
0.0001351600955975,adam,NeuCMFii,0.0429948360184338,550,0.7184,0.9442,0.4663,25,386
0.0001367505901202,adam,NeuCMFi0,0.0900140000340279,500,0.7167,0.9452,0.4998,26,397
0.0815862720040506,adam,NeuCMFi0,0.0783807756984193,500,0.7106,0.9494,0.4899,25,395
0.0794749140451476,adam,NeuCMFi0,0.0963200512884317,500,0.7108,0.9489,0.4848,22,432
0.081242939045344,adam,NeuCMFi0,0.0993061895728519,550,0.7105,0.9491,0.5,23,431
0.0470209321759616,adam,NeuCMFi0,0.0201595448063657,600,0.714,0.9483,0.496,16,344
0.0994245796637645,adam,NeuCMFi0,0.0074288737117136,550,0.7206,0.9463,0.4848,10,450
0.0815515816711028,adam,NeuCMFi0,0.0911501665340237,500,0.7102,0.9493,0.5086,22,434
0.069966585044542,adam,NeuCMFi0,0.0342088867606265,1000,0.7128,0.9472,0.5136,26,35
0.0887366756002435,adam,NeuCMF0i,0.0806300236476934,950,0.7244,0.9447,0.5001,15,411
0.0066709851904203,RMSprop,NeuCMFii,0.0845467990648959,950,0.7311,0.9476,0.5016,26,405
0.0366154443051837,RMSprop,NeuCMFww,0.0900185252232102,500,1.4162,1.6139,0.5009,24,278
0.0060732496141312,RMSprop,NeuCMF0i,0.0831703291340504,550,0.7261,0.945,0.5076,27,260
0.04012125703695,adam,NeuCMFi0,0.0001760721224628,650,0.8608,1.0991,0.4903,21,367
0.0040098349964615,adam,NeuCMF0w,0.0757685395118978,1000,0.7163,0.9468,0.4638,19,224
0.0473755883783685,RMSprop,NeuCMFw0,0.0061780218643754,950,3.5487,3.7356,0.4948,23,136
0.0841435761893868,adam,NeuCMFww,0.0050904658271929,850,1.4357,1.6359,0.5182,17,402
0.0940133995796786,RMSprop,NeuCMF0i,0.0225980591006131,1000,7.3951,8.7431,0.5109,24,203
0.0700128635590213,adam,NeuCMFi0,0.0470695181796072,800,0.7156,0.9448,0.4959,10,44
0.0697556295153562,adam,NeuCMFi0,0.0454047594262432,800,0.7142,0.9467,0.5083,10,33
0.0670315175481675,adam,NeuCMFi0,0.0436924267792899,700,0.712,0.9472,0.4883,29,62
0.0654940046427829,adam,NeuCMFi0,0.0321898894079268,650,0.7113,0.948,0.5083,30,123
0.0581316643770689,adam,NeuCMFi0,0.0635291517200188,650,0.7111,0.948,0.5105,30,124
0.0569925564323507,adam,NeuCMFii,0.0631509832637234,600,0.7156,0.9463,0.4741,30,508
0.0984359854474551,adam,NeuCMF0w,0.06325178318489,700,0.7207,0.9466,0.4833,30,139
0.0558438999535927,adam,NeuCMFw0,0.0651177859334538,600,0.7149,0.9458,0.5006,27,123
0.0786700895815828,adam,NeuCMFi0,0.0312448385445937,700,0.7128,0.9466,0.4547,13,190
0.0814161513560238,adam,NeuCMFi0,0.0950005388930318,500,0.7107,0.9483,0.4987,22,98
0.0811529165656434,adam,NeuCMFi0,0.099247067375152,500,0.7124,0.9483,0.5099,21,315
0.0604639476868405,adam,NeuCMFi0,0.0970570327817955,600,0.7108,0.9483,0.5093,28,97
0.0793944612606074,adam,NeuCMFi0,0.0999170301348296,550,0.7113,0.9495,0.4963,28,85
0.0522615218804796,adam,NeuCMFi0,0.0920592154834845,550,0.7107,0.9487,0.5128,23,169
0.0439595785547793,adam,NeuCMFi0,0.0911577092067824,550,0.7109,0.9481,0.5053,19,172
0.0349993452028363,adam,NeuCMFw0,0.0913928771232953,500,0.7117,0.9478,0.5041,23,94
0.0507461985904132,RMSprop,NeuCMFii,0.0754909044664177,600,2.9441,3.2023,0.487,21,169
0.0926610887271931,adam,NeuCMFww,0.0988623722851263,550,0.7101,0.9491,0.4762,25,84
