learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
1e-06,adam,32,0.001,500,10,0.962229311466217,1.3424673168459145,8
1e-06,adam,32,0.001,1000,10,0.9651767134666442,1.3469335105206413,8
1e-06,adam,32,0.001,500,15,0.9564182579517364,1.333792203183651,8
1e-06,adam,32,0.001,1000,15,0.9601699888706208,1.3405008378586505,8
1e-06,adam,32,0.1,500,10,0.9624789237976076,3.4882206517474064,8
1e-06,adam,32,0.1,1000,10,0.9659263253211976,3.4936374598411986,8
1e-06,adam,32,0.1,500,15,0.9588112711906434,3.4728610859073066,8
1e-06,adam,32,0.1,1000,15,0.9638286054134368,3.495719976637118,8
1e-06,adam,64,0.001,500,10,0.9594759285449982,1.3464971583251772,8
1e-06,adam,64,0.001,1000,10,0.9634430289268494,1.3524596395481645,8
1e-06,adam,64,0.001,500,15,0.9560141265392303,1.3407036649303772,8
1e-06,adam,64,0.001,1000,15,0.9640494167804718,1.3528598622547807,8
1e-06,adam,64,0.1,500,10,0.9604167580604552,3.768296657644168,8
1e-06,adam,64,0.1,1000,10,0.9647682785987854,3.786442531603444,8
1e-06,adam,64,0.1,500,15,0.9574275076389313,3.746328642067132,8
1e-06,adam,64,0.1,1000,15,0.963087671995163,3.782091069275398,8
1e-06,RMSprop,32,0.001,500,10,0.9614398956298827,1.342141159732012,8
1e-06,RMSprop,32,0.001,1000,10,0.964387172460556,1.3459315578098356,8
1e-06,RMSprop,32,0.001,500,15,0.9564157783985138,1.3337328784061746,8
1e-06,RMSprop,32,0.001,1000,15,0.9621976912021636,1.3428756175611023,8
1e-06,RMSprop,32,0.1,500,10,0.9623762607574464,3.480294970146012,8
1e-06,RMSprop,32,0.1,1000,10,0.9663189947605132,3.5001586060690397,8
1e-06,RMSprop,32,0.1,500,15,0.9594289243221285,3.4658966288221738,8
1e-06,RMSprop,32,0.1,1000,15,0.964610868692398,3.4958593807833838,8
1e-06,RMSprop,64,0.001,500,10,0.9602854907512663,1.3472642809517457,8
1e-06,RMSprop,64,0.001,1000,10,0.9618880450725557,1.350574913172988,8
1e-06,RMSprop,64,0.001,500,15,0.9573953807353972,1.344175333530008,8
1e-06,RMSprop,64,0.001,1000,15,0.9645390689373016,1.3538171957920853,8
1e-06,RMSprop,64,0.1,500,10,0.963371467590332,3.772851125203002,8
1e-06,RMSprop,64,0.1,1000,10,0.9654776334762574,3.787492791096591,8
1e-06,RMSprop,64,0.1,500,15,0.958909159898758,3.744592913719399,8
1e-06,RMSprop,64,0.1,1000,15,0.9649490356445312,3.779895167738844,8
0.001,adam,32,0.001,500,10,0.6118289709091187,0.7775531927538603,8
0.001,adam,32,0.001,1000,10,0.6117498278617859,0.778422453530835,8
0.001,adam,32,0.001,500,15,0.6051091969013214,0.773022183741497,8
0.001,adam,32,0.001,1000,15,0.6097671747207641,0.7767836234811542,8
0.001,adam,32,0.1,500,10,0.6267960071563721,0.8089395419471314,8
0.001,adam,32,0.1,1000,10,0.6298872828483582,0.8164427096607968,8
0.001,adam,32,0.1,500,15,0.6272659122943878,0.8050887986780031,8
0.001,adam,32,0.1,1000,15,0.6230998337268829,0.8032567016435975,8
0.001,adam,64,0.001,500,10,0.6057579457759857,0.7735193035907847,8
0.001,adam,64,0.001,1000,10,0.6106286823749543,0.7784285179364239,8
