learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
1e-06,adam,32,0.001,500,10,4.351147556304932,4.416509007692949,0
1e-06,adam,32,0.001,1000,10,4.35279700756073,4.417921605351905,0
1e-06,adam,32,0.001,500,20,4.349693846702576,4.414494294508853,0
1e-06,adam,32,0.001,1000,20,4.353445291519165,4.418160205203795,0
1e-06,adam,32,0.001,500,30,4.347276091575623,4.412367676650092,0
1e-06,adam,32,0.001,1000,30,4.345296263694763,4.410568804572785,0
1e-06,adam,32,0.1,500,10,4.352244210243225,5.484960506300503,0
1e-06,adam,32,0.1,1000,10,4.353139090538025,5.488597911238352,0
1e-06,adam,32,0.1,500,20,4.34869396686554,5.474822120738093,0
1e-06,adam,32,0.1,1000,20,4.354057788848877,5.481162236031938,0
1e-06,adam,32,0.1,500,30,4.351748156547546,5.478811162093281,0
1e-06,adam,32,0.1,1000,30,4.352964544296265,5.479458335781417,0
1e-06,adam,128,0.001,500,10,4.358719205856323,4.4283976835017205,0
1e-06,adam,128,0.001,1000,10,4.355733156204224,4.425614841224875,0
1e-06,adam,128,0.001,500,20,4.348539519309997,4.417982295358739,0
1e-06,adam,128,0.001,1000,20,4.355739164352417,4.424538317803804,0
1e-06,adam,128,0.001,500,30,4.346906948089599,4.416251887632302,0
1e-06,adam,128,0.001,1000,30,4.351246809959411,4.4206766398587805,0
1e-06,adam,128,0.1,500,10,4.348727369308472,5.814998950908957,0
1e-06,adam,128,0.1,1000,10,4.351208448410034,5.817780620657473,0
1e-06,adam,128,0.1,500,20,4.34394404888153,5.805655011425872,0
1e-06,adam,128,0.1,1000,20,4.35325255393982,5.814019904817431,0
1e-06,adam,128,0.1,500,30,4.346349716186523,5.807015815877554,0
1e-06,adam,128,0.1,1000,30,4.3517800092697145,5.81099084110093,0
1e-06,adam,512,0.001,500,10,4.346503925323487,4.41792281419532,0
1e-06,adam,512,0.001,1000,10,4.344845271110534,4.415142366094725,0
1e-06,adam,512,0.001,500,20,4.349812054634095,4.421415487076825,0
1e-06,adam,512,0.001,1000,20,4.350561237335205,4.421516301464212,0
1e-06,adam,512,0.001,500,30,4.347579073905945,4.418523061231327,0
1e-06,adam,512,0.001,1000,30,4.345777463912964,4.417024919387344,0
1e-06,adam,512,0.1,500,10,4.351500701904297,5.963733246459328,0
1e-06,adam,512,0.1,1000,10,4.352710556983948,5.972661678893052,0
1e-06,adam,512,0.1,500,20,4.34451117515564,5.947963385278795,0
1e-06,adam,512,0.1,1000,20,4.346714186668396,5.960767975042723,0
1e-06,adam,512,0.1,500,30,4.34008755683899,5.930628283509109,0
1e-06,adam,512,0.1,1000,30,4.347264051437378,5.956082948341503,0
1e-06,RMSprop,32,0.001,500,10,4.353212475776672,4.418217039003568,0
1e-06,RMSprop,32,0.001,1000,10,4.34921407699585,4.41446384462048,0
1e-06,RMSprop,32,0.001,500,20,4.352765393257141,4.418007270516888,0
1e-06,RMSprop,32,0.001,1000,20,4.354394745826721,4.41932434277424,0
1e-06,RMSprop,32,0.001,500,30,4.3481295824050905,4.413126088968706,0
1e-06,RMSprop,32,0.001,1000,30,4.352375888824463,4.417072505418882,0
1e-06,RMSprop,32,0.1,500,10,4.354434609413147,5.480881476546335,0
1e-06,RMSprop,32,0.1,1000,10,4.351732516288758,5.481860035754208,0
1e-06,RMSprop,32,0.1,500,20,4.35015721321106,5.481086862500439,0
1e-06,RMSprop,32,0.1,1000,20,4.350925064086914,5.477623694941428,0
1e-06,RMSprop,32,0.1,500,30,4.353296375274658,5.471302836082197,0
1e-06,RMSprop,32,0.1,1000,30,4.354942870140076,5.486752351823368,0
1e-06,RMSprop,128,0.001,500,10,4.35662317276001,4.426157281696858,0
1e-06,RMSprop,128,0.001,1000,10,4.349653530120849,4.4194693555808495,0
1e-06,RMSprop,128,0.001,500,20,4.351503896713257,4.421269955707324,0
1e-06,RMSprop,128,0.001,1000,20,4.3532576084136965,4.422948150355005,0
1e-06,RMSprop,128,0.001,500,30,4.347650575637817,4.417134837162856,0
1e-06,RMSprop,128,0.001,1000,30,4.353567814826965,4.423609470917407,0
1e-06,RMSprop,128,0.1,500,10,4.349501776695251,5.812515324398062,0
1e-06,RMSprop,128,0.1,1000,10,4.352323555946351,5.820269635957934,0
1e-06,RMSprop,128,0.1,500,20,4.350372052192688,5.814079037370872,0
1e-06,RMSprop,128,0.1,1000,20,4.351695203781128,5.820670998816618,0
1e-06,RMSprop,128,0.1,500,30,4.346678376197815,5.807087812965521,0
1e-06,RMSprop,128,0.1,1000,30,4.350176882743836,5.812705202479742,0
1e-06,RMSprop,512,0.001,500,10,4.347879338264465,4.418884678883048,0
1e-06,RMSprop,512,0.001,1000,10,4.350841856002807,4.42156004306359,0
1e-06,RMSprop,512,0.001,500,20,4.346341824531555,4.418290190129335,0
1e-06,RMSprop,512,0.001,1000,20,4.3524504661560055,4.423549397089813,0
1e-06,RMSprop,512,0.001,500,30,4.34040253162384,4.412480066270622,0
1e-06,RMSprop,512,0.001,1000,30,4.349072980880737,4.420495109790988,0
