learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
1.0,adam,FM,32,0.0,500,31.7432
1.0,adam,FM,32,0.0,1000,14.6093
1.0,adam,FM,32,0.01,500,9.6242
1.0,adam,FM,32,0.01,1000,5.7594
1.0,adam,FM,32,0.1,500,0.9477
1.0,adam,FM,32,0.1,1000,0.7286
1.0,adam,FM,64,0.0,500,55.4492
1.0,adam,FM,64,0.0,1000,24.9452
1.0,adam,FM,64,0.01,500,16.8387
1.0,adam,FM,64,0.01,1000,10.3956
1.0,adam,FM,64,0.1,500,2.9947
1.0,adam,FM,64,0.1,1000,0.7281
1.0,adam,FM,128,0.0,500,109.471
1.0,adam,FM,128,0.0,1000,42.9256
1.0,adam,FM,128,0.01,500,32.864
1.0,adam,FM,128,0.01,1000,22.7768
1.0,adam,FM,128,0.1,500,7.6284
1.0,adam,FM,128,0.1,1000,4.7398
1.0,adam,FM,256,0.0,500,202.0826
1.0,adam,FM,256,0.0,1000,86.2586
1.0,adam,FM,256,0.01,500,60.0784
1.0,adam,FM,256,0.01,1000,53.8298
1.0,adam,FM,256,0.1,500,20.9219
1.0,adam,FM,256,0.1,1000,13.2774
1.0,adam,FM,512,0.0,500,399.1645
1.0,adam,FM,512,0.0,1000,157.4591
1.0,adam,FM,512,0.01,500,133.2888
1.0,adam,FM,512,0.01,1000,105.9158
1.0,adam,FM,512,0.1,500,47.1743
1.0,adam,FM,512,0.1,1000,46.389
1.0,adam,DeepFM,32,0.0,500,56.2454
1.0,adam,DeepFM,32,0.0,1000,62.4654
1.0,adam,DeepFM,32,0.01,500,27.1581
1.0,adam,DeepFM,32,0.01,1000,26.1447
1.0,adam,DeepFM,32,0.1,500,5.5673
1.0,adam,DeepFM,32,0.1,1000,7.7021
1.0,adam,DeepFM,64,0.0,500,111.5724
1.0,adam,DeepFM,64,0.0,1000,86.9721
1.0,adam,DeepFM,64,0.01,500,33.7967
1.0,adam,DeepFM,64,0.01,1000,58.589
1.0,adam,DeepFM,64,0.1,500,15.0769
1.0,adam,DeepFM,64,0.1,1000,23.4471
1.0,adam,DeepFM,128,0.0,500,264.8402
1.0,adam,DeepFM,128,0.0,1000,217.1378
1.0,adam,DeepFM,128,0.01,500,66.3795
1.0,adam,DeepFM,128,0.01,1000,74.6335
1.0,adam,DeepFM,128,0.1,500,16.9442
1.0,adam,DeepFM,128,0.1,1000,54.7745
1.0,adam,DeepFM,256,0.0,500,495.3364
1.0,adam,DeepFM,256,0.0,1000,317.8054
1.0,adam,DeepFM,256,0.01,500,96.3315
1.0,adam,DeepFM,256,0.01,1000,101.8575
1.0,adam,DeepFM,256,0.1,500,31.6546
1.0,adam,DeepFM,256,0.1,1000,37.1866
1.0,adam,DeepFM,512,0.0,500,772.4993
1.0,adam,DeepFM,512,0.0,1000,309.7545
1.0,adam,DeepFM,512,0.01,500,342.2342
1.0,adam,DeepFM,512,0.01,1000,407.6643
1.0,adam,DeepFM,512,0.1,500,201.0395
1.0,adam,DeepFM,512,0.1,1000,83.0993
1.0,RMSprop,DeepFM,32,0.0,500,289.1888
1.0,RMSprop,DeepFM,32,0.0,1000,448.3807
1.0,RMSprop,DeepFM,32,0.01,500,6388.4391
1.0,RMSprop,DeepFM,32,0.01,1000,835.5178
1.0,RMSprop,DeepFM,32,0.1,500,3459.5211
1.0,RMSprop,DeepFM,32,0.1,1000,4110.8434
1.0,RMSprop,DeepFM,64,0.0,500,664.1259
1.0,RMSprop,DeepFM,64,0.0,1000,2011.6322
1.0,RMSprop,DeepFM,64,0.01,500,872.7358
1.0,RMSprop,DeepFM,64,0.01,1000,7462.3125
1.0,RMSprop,DeepFM,64,0.1,500,31297.2062
1.0,RMSprop,DeepFM,64,0.1,1000,118675.8875
1.0,RMSprop,DeepFM,128,0.0,500,5860.3711
1.0,RMSprop,DeepFM,128,0.0,1000,25074.4375
1.0,RMSprop,DeepFM,128,0.01,500,18863.3328
1.0,RMSprop,DeepFM,128,0.01,1000,66978.7938
1.0,RMSprop,DeepFM,128,0.1,500,3273.7604
1.0,RMSprop,DeepFM,128,0.1,1000,87454.675
1.0,RMSprop,DeepFM,256,0.0,500,7480.493
1.0,RMSprop,DeepFM,256,0.0,1000,13159.1766
1.0,RMSprop,DeepFM,256,0.01,500,17057.4469
1.0,RMSprop,DeepFM,256,0.01,1000,68735.3125
1.0,RMSprop,DeepFM,256,0.1,500,151529.2125
1.0,RMSprop,DeepFM,256,0.1,1000,77521.2688
1.0,RMSprop,DeepFM,512,0.0,500,12137.8141
1.0,RMSprop,DeepFM,512,0.0,1000,35257.75
1.0,RMSprop,DeepFM,512,0.01,500,1915589.8
1.0,RMSprop,DeepFM,512,0.01,1000,227454.65
1.0,RMSprop,DeepFM,512,0.1,500,530006.95
1.0,RMSprop,DeepFM,512,0.1,1000,3596591.6
0.01,adam,FM,32,0.0,500,1.1037
0.01,adam,FM,32,0.0,1000,1.1263
0.01,adam,FM,32,0.01,500,0.787
0.01,adam,FM,32,0.01,1000,0.7983
0.01,adam,FM,32,0.1,500,0.7701
0.01,adam,FM,32,0.1,1000,0.7718
0.01,adam,FM,64,0.0,500,1.1579
0.01,adam,FM,64,0.0,1000,1.1371
0.01,adam,FM,64,0.01,500,0.7683
0.01,adam,FM,64,0.01,1000,0.8049
0.01,adam,FM,64,0.1,500,0.7553
0.01,adam,FM,64,0.1,1000,0.7658
0.01,adam,FM,128,0.0,500,1.0782
0.01,adam,FM,128,0.0,1000,1.2018
0.01,adam,FM,128,0.01,500,0.767
0.01,adam,FM,128,0.01,1000,0.8035
0.01,adam,FM,128,0.1,500,0.7295
0.01,adam,FM,128,0.1,1000,0.7907
0.01,adam,FM,256,0.0,500,0.976
0.01,adam,FM,256,0.0,1000,1.3015
0.01,adam,FM,256,0.01,500,0.7673
0.01,adam,FM,256,0.01,1000,0.7874
0.01,adam,FM,256,0.1,500,0.7801
0.01,adam,FM,256,0.1,1000,0.7909
0.01,adam,FM,512,0.0,500,0.9553
0.01,adam,FM,512,0.0,1000,1.2167
0.01,adam,FM,512,0.01,500,0.7726
0.01,adam,FM,512,0.01,1000,0.7829
