learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
4.989347681926292e-06,adam,DeepFM,512,0.1,1000,3.9361
3.227516310327897e-05,adam,FM,64,0.0,1000,3.8665
5.4109307115094105e-05,RMSprop,DeepFM,64,0.0,500,0.7837
9.201061060446624e-05,adam,FM,128,0.1,500,1.4172
1.0394278756223847e-06,RMSprop,FM,128,0.01,500,4.1156
2.51573414397604e-06,adam,FM,32,0.1,1000,4.1219
2.048690588867501e-06,adam,FM,128,0.1,500,4.1105
2.122066085516645e-06,RMSprop,FM,512,0.0,1000,4.1041
0.0626954765300891,adam,DeepFM,256,0.1,1000,0.7351
0.000303424610842,adam,DeepFM,32,0.0,1000,0.7792
0.0790406595201682,adam,DeepFM,256,0.01,1000,2.5859
0.002089696831888,adam,DeepFM,256,0.0,1000,0.8436
0.0018925440569266,adam,DeepFM,32,0.1,1000,0.7159
0.0098801472118565,adam,DeepFM,32,0.1,1000,0.7164
0.004197444740309,adam,DeepFM,32,0.1,1000,0.7161
0.0017481833940665,RMSprop,DeepFM,32,0.1,1000,0.7163
0.0031091757650483,adam,DeepFM,32,0.1,1000,0.7157
0.000746206528648,adam,DeepFM,32,0.01,1000,0.7828
0.0164280317865112,RMSprop,DeepFM,32,0.1,500,0.7309
0.0005079987410775,adam,DeepFM,32,0.1,1000,0.7175
0.0087568627939617,adam,DeepFM,64,0.01,1000,0.7662
0.0032093282555557,adam,DeepFM,32,0.1,1000,0.716
0.0015677513226453,adam,DeepFM,32,0.1,1000,0.717
4.350477125930041e-06,RMSprop,DeepFM,32,0.1,1000,4.0826
0.0416775067847078,RMSprop,FM,512,0.01,500,4.0281
1.3899958562279518e-06,RMSprop,FM,512,0.01,1000,4.1156
0.0004795445687507,RMSprop,DeepFM,64,0.1,1000,0.7153
0.0010944596924832,RMSprop,FM,256,0.1,500,0.7762
4.844774215290163e-06,RMSprop,DeepFM,256,0.01,1000,3.9444
2.341454326964353e-05,adam,DeepFM,256,0.1,500,0.7227
1.15791444767566e-06,adam,DeepFM,64,0.01,500,4.1087
0.0016477639593807,adam,DeepFM,256,0.0,1000,0.8573
7.66644233133342e-06,RMSprop,DeepFM,256,0.01,500,3.0302
0.000151780742383,adam,FM,64,0.0,1000,1.4395
4.807445352613403e-05,adam,DeepFM,128,0.1,500,0.7184
7.823826241428676e-05,adam,DeepFM,128,0.1,500,0.7182
0.0003030726453196,adam,DeepFM,128,0.1,1000,0.7176
0.0004637301525611,adam,DeepFM,64,0.1,1000,0.7175
0.0011266300282704,RMSprop,DeepFM,64,0.1,1000,0.7163
0.0047829643473371,RMSprop,DeepFM,64,0.1,1000,0.7204
0.0125312256869482,RMSprop,DeepFM,64,0.0,1000,1.0715
0.0021161841631286,RMSprop,FM,32,0.1,1000,0.7737
0.0005534955382288,RMSprop,DeepFM,64,0.1,1000,0.7174
0.0064349282267056,RMSprop,DeepFM,64,0.0,1000,0.9294
0.0004058128676591,RMSprop,DeepFM,64,0.1,1000,0.7162
0.000213373226922,RMSprop,DeepFM,64,0.1,1000,0.7166
0.0008765302381631499,RMSprop,DeepFM,64,0.1,1000,0.7188
