learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
1.0,adam,NeuCMF0i,32,0.0,500,10.8874
1.0,adam,NeuCMF0i,32,0.0,1000,6.2645
1.0,adam,NeuCMF0i,32,0.01,500,4.1786
1.0,adam,NeuCMF0i,32,0.01,1000,17.3764
1.0,adam,NeuCMF0i,32,0.1,500,4.1728
1.0,adam,NeuCMF0i,32,0.1,1000,8.1943
1.0,adam,NeuCMF0i,64,0.0,500,19.3501
1.0,adam,NeuCMF0i,64,0.0,1000,6.0293
1.0,adam,NeuCMF0i,64,0.01,500,8.3197
1.0,adam,NeuCMF0i,64,0.01,1000,8.3063
1.0,adam,NeuCMF0i,64,0.1,500,5.6035
1.0,adam,NeuCMF0i,64,0.1,1000,17.229
1.0,adam,NeuCMF0w,32,0.0,500,5.0601
1.0,adam,NeuCMF0w,32,0.0,1000,23.2912
1.0,adam,NeuCMF0w,32,0.01,500,6.6685
1.0,adam,NeuCMF0w,32,0.01,1000,11.363
1.0,adam,NeuCMF0w,32,0.1,500,7.9759
1.0,adam,NeuCMF0w,32,0.1,1000,29.4238
1.0,adam,NeuCMF0w,64,0.0,500,6.4725
1.0,adam,NeuCMF0w,64,0.0,1000,31.0361
1.0,adam,NeuCMF0w,64,0.01,500,9.2133
1.0,adam,NeuCMF0w,64,0.01,1000,26.4416
1.0,adam,NeuCMF0w,64,0.1,500,6.8784
1.0,adam,NeuCMF0w,64,0.1,1000,13.5756
1.0,adam,NeuCMFi0,32,0.0,500,32.3991
1.0,adam,NeuCMFi0,32,0.0,1000,49.1983
1.0,adam,NeuCMFi0,32,0.01,500,19.4396
1.0,adam,NeuCMFi0,32,0.01,1000,21.3731
1.0,adam,NeuCMFi0,32,0.1,500,4.1442
1.0,adam,NeuCMFi0,32,0.1,1000,4.1072
1.0,adam,NeuCMFi0,64,0.0,500,32.6199
1.0,adam,NeuCMFi0,64,0.0,1000,60.0012
1.0,adam,NeuCMFi0,64,0.01,500,10.736
1.0,adam,NeuCMFi0,64,0.01,1000,12.5354
1.0,adam,NeuCMFi0,64,0.1,500,14.1597
1.0,adam,NeuCMFi0,64,0.1,1000,18.9212
1.0,adam,NeuCMFii,32,0.0,500,45.619
1.0,adam,NeuCMFii,32,0.0,1000,45.5845
1.0,adam,NeuCMFii,32,0.01,500,9.7427
1.0,adam,NeuCMFii,32,0.01,1000,15.1266
1.0,adam,NeuCMFii,32,0.1,500,4.3703
1.0,adam,NeuCMFii,32,0.1,1000,5.5225
1.0,adam,NeuCMFii,64,0.0,500,37.8303
1.0,adam,NeuCMFii,64,0.0,1000,47.1534
1.0,adam,NeuCMFii,64,0.01,500,14.4175
1.0,adam,NeuCMFii,64,0.01,1000,27.3391
1.0,adam,NeuCMFii,64,0.1,500,5.0775
1.0,adam,NeuCMFii,64,0.1,1000,10.5643
1.0,adam,NeuCMFw0,32,0.0,500,50.8337
1.0,adam,NeuCMFw0,32,0.0,1000,47.342
1.0,adam,NeuCMFw0,32,0.01,500,13.4415
1.0,adam,NeuCMFw0,32,0.01,1000,21.6492
1.0,adam,NeuCMFw0,32,0.1,500,23.5345
1.0,adam,NeuCMFw0,32,0.1,1000,60.3296
1.0,adam,NeuCMFw0,64,0.0,500,34.4067
1.0,adam,NeuCMFw0,64,0.0,1000,38.8909
1.0,adam,NeuCMFw0,64,0.01,500,7.049
1.0,adam,NeuCMFw0,64,0.01,1000,29.9999
1.0,adam,NeuCMFw0,64,0.1,500,5.0578
1.0,adam,NeuCMFw0,64,0.1,1000,41.3979
1.0,adam,NeuCMFww,32,0.0,500,28.4154
1.0,adam,NeuCMFww,32,0.0,1000,52.3334
1.0,adam,NeuCMFww,32,0.01,500,19.5278
1.0,adam,NeuCMFww,32,0.01,1000,42.0433
1.0,adam,NeuCMFww,32,0.1,500,10.018
1.0,adam,NeuCMFww,32,0.1,1000,4.9122
1.0,adam,NeuCMFww,64,0.0,500,26.8227
1.0,adam,NeuCMFww,64,0.0,1000,52.6932
1.0,adam,NeuCMFww,64,0.01,500,13.275
1.0,adam,NeuCMFww,64,0.01,1000,22.1167
1.0,adam,NeuCMFww,64,0.1,500,6.7496
1.0,adam,NeuCMFww,64,0.1,1000,18.2756
1.0,RMSprop,NeuCMF0i,32,0.0,500,3919.857
1.0,RMSprop,NeuCMF0i,32,0.0,1000,2960.0076
1.0,RMSprop,NeuCMF0i,32,0.01,500,3612.9227
1.0,RMSprop,NeuCMF0i,32,0.01,1000,57742.0312
1.0,RMSprop,NeuCMF0i,32,0.1,500,22737.1844
1.0,RMSprop,NeuCMF0i,32,0.1,1000,130197.825
1.0,RMSprop,NeuCMF0i,64,0.0,500,4283.9562
1.0,RMSprop,NeuCMF0i,64,0.0,1000,3535.1055
1.0,RMSprop,NeuCMF0i,64,0.01,500,1876.8055
1.0,RMSprop,NeuCMF0i,64,0.01,1000,4392.4359
1.0,RMSprop,NeuCMF0i,64,0.1,500,39533.3875
1.0,RMSprop,NeuCMF0i,64,0.1,1000,49784.325
1.0,RMSprop,NeuCMF0w,32,0.0,500,7000.3484
1.0,RMSprop,NeuCMF0w,32,0.0,1000,12761.3109
1.0,RMSprop,NeuCMF0w,32,0.01,500,55374.2938
1.0,RMSprop,NeuCMF0w,32,0.01,1000,298548.575
1.0,RMSprop,NeuCMF0w,32,0.1,500,53523.55
